scorer,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000,DLC_resnet50_demoSchoolJul1shuffle1_100000
7,114.3902,200.4259,0.9632,90.3728,200.4602,0.9757,66.3610,200.0298,0.9550,42.2395,199.0737,0.9639,6.1681,199.8852,0.9808,74.2563,262.3863,0.9677,50.4466,261.2524,0.9537,26.5147,259.3452,0.9645,2.3342,256.9833,0.9847,-33.2958,256.1390,0.9667,54.4821,152.1797,0.9623,30.6791,151.1810,0.9887,6.5724,149.0801,0.9746,-17.4289,147.2829,0.9777,-53.3040,146.8145,0.9596
8,115.6882,200.4586,0.9685,91.7008,200.8211,0.9680,68.0695,200.2340,0.9648,43.6004,198.8518,0.9846,7.5644,199.0755,0.9833,75.6573,262.0259,0.9715,51.7074,261.2497,0.9714,27.4219,259.7123,0.9640,3.6864,257.2204,0.9782,-32.0839,255.8585,0.9614,55.6562,152.0759,0.9937,31.6012,151.0710,0.9666,7.7270,149.6723,0.9764,-16.0929,147.5585,0.9806,-52.3588,146.2788,0.9546
9,116.8321,200.5030,0.9667,92.6835,200.7672,0.9556,68.9934,200.1107,0.9651,44.6105,199.0361,0.9558,8.6726,198.6710,0.9594,76.7522,262.3137,0.9847,52.7282,261.1318,0.9556,29.0014,259.9452,0.9910,5.0989,257.3227,0.9696,-31.1375,255.2841,0.9970,56.6263,151.7615,0.9721,32.7843,150.9941,0.9744,8.5398,149.9611,0.9510,-15.2445,147.6682,0.9672,-51.0123,145.6889,0.9532
10,118.0020,199.9288,0.9991,93.8494,200.4496,0.9858,70.0213,200.4641,0.9619,46.0015,199.3151,0.9772,9.9028,198.3322,0.9758,77.8006,261.5531,0.9629,53.8486,261.4116,0.9648,29.7851,260.0555,0.9867,6.2533,257.6369,0.9546,-29.9145,255.3021,0.9789,58.0391,151.5834,0.9693,33.8766,151.1371,0.9668,9.8391,150.1647,0.9877,-13.5742,147.6708,0.9699,-49.9627,145.8373,0.9910
11,119.0498,200.1260,0.9862,95.1840,200.5578,0.9766,71.2021,200.5427,0.9518,47.0142,199.4775,0.9995,11.4870,198.2524,0.9819,79.2206,261.6808,0.9576,55.2631,261.1973,0.9792,31.1973,260.2356,0.9831,7.2772,257.7572,0.9818,-28.6056,254.8565,0.9524,58.9917,151.3881,0.9857,35.0566,150.6882,0.9630,10.8149,150.1534,0.9831,-12.5801,148.4177,0.9596,-48.3964,145.5790,0.9875
12,120.3873,200.0641,0.9751,96.2147,200.4899,0.9511,72.4790,200.9573,0.9756,48.6023,200.0695,0.9664,12.3898,198.0855,0.9588,80.5369,261.6567,0.9989,56.2687,261.0344,0.9717,32.3062,260.3603,0.9503,8.2042,258.2636,0.9552,-27.2406,254.6287,0.9705,60.2699,151.3620,0.9696,36.2569,150.4195,0.9773,12.3899,150.3339,0.9542,-11.2583,148.6521,0.9943,-47.6100,145.4176,0.9759
13,121.6888,199.7915,0.9568,97.4893,199.8203,0.9930,73.5406,200.7154,0.9926,49.7073,200.3906,0.9528,13.8899,198.1360,0.9621,81.8530,261.2606,0.9980,57.6615,260.4589,0.9736,33.5730,260.1454,0.9621,9.8095,258.9944,0.9637,-26.1429,255.0798,0.9565,61.6840,150.9571,0.9975,37.5198,150.6232,0.9838,13.3610,150.2079,0.9998,-10.1522,149.4273,0.9867,-46.1924,145.8155,0.9601
14,122.7031,199.7410,0.9712,99.0535,199.8509,0.9938,74.7621,200.6347,0.9610,50.5864,200.4847,0.9821,14.8136,198.1195,0.9932,82.6452,260.9810,0.9734,58.6461,260.3136,0.9941,34.8168,260.1550,0.9945,10.8749,259.0384,0.9758,-24.9139,255.0940,0.9826,62.6465,150.6245,0.9549,38.6563,150.1001,0.9836,14.7539,149.8406,0.9675,-9.0298,149.3799,0.9763,-44.9390,146.0781,0.9740
15,123.9887,199.7576,0.9961,99.8410,199.4929,0.9725,75.7331,200.5157,0.9759,52.0676,200.6194,0.9731,15.9468,198.2715,0.9566,84.0342,261.2720,0.9514,59.6954,260.0836,0.9612,36.1769,259.7161,0.9518,12.1942,259.0660,0.9757,-23.8018,255.3516,0.9629,64.3426,150.6841,0.9587,40.1115,149.9880,0.9568,15.8378,150.1056,0.9756,-7.8213,149.6832,0.9753,-43.8003,145.8548,0.9531
16,125.1589,199.7249,0.9816,101.4391,199.5003,0.9952,77.2593,200.2702,0.9851,53.2613,200.6443,0.9696,17.3288,198.8514,0.9702,85.1910,260.9641,0.9833,61.1724,259.8067,0.9787,37.1660,259.6867,0.9940,13.2353,259.0270,0.9896,-22.7518,255.8332,0.9512,65.6128,150.8800,0.9939,41.2657,150.0214,0.9655,17.2288,149.7416,0.9983,-6.9628,149.4757,0.9717,-42.4947,146.5678,0.9634
17,126.3619,199.9251,0.9849,102.7560,199.4687,0.9615,78.4037,199.9061,0.9831,54.4729,200.5981,0.9776,18.4770,199.2527,0.9764,86.3487,261.3718,0.9747,62.3718,259.9783,0.9912,38.2306,259.2404,0.9705,14.3658,258.9479,0.9694,-21.2098,256.0573,0.9915,66.2843,150.9433,0.9864,42.3699,149.9030,0.9725,18.3284,149.4243,0.9719,-5.6775,149.7056,0.9681,-41.4983,146.9122,0.9543
18,127.5379,199.8331,0.9868,103.8156,199.2692,0.9702,79.6004,199.6723,0.9895,55.4229,200.8091,0.9840,19.5196,199.7342,0.9993,87.7619,261.1278,0.9565,63.4125,260.0399,0.9964,39.9355,259.0138,0.9920,15.8388,258.9640,0.9552,-20.2851,256.4499,0.9817,67.4379,151.0756,0.9650,43.5403,149.7468,0.9570,19.6240,149.0092,0.9755,-4.4392,149.5426,0.9870,-40.3201,147.6282,0.9784
19,128.9086,199.6851,0.9930,105.0402,199.0216,0.9701,80.7703,199.3684,0.9515,56.6037,200.3154,0.9754,21.0032,200.0156,0.9915,88.8659,261.4710,0.9642,64.9959,259.8009,0.9867,41.0455,258.8492,0.9961,17.0434,258.6814,0.9956,-18.9833,256.8928,0.9535,68.6876,151.0233,0.9550,44.8888,149.6690,0.9804,20.8787,148.9907,0.9666,-2.9661,149.1532,0.9900,-39.0566,148.1653,0.9961
20,129.8908,199.9872,0.9542,105.8363,199.4749,0.9606,81.9854,198.9451,0.9854,57.8234,199.6529,0.9881,22.3665,200.3046,0.9622,89.8169,261.5854,0.9614,65.9410,260.1316,0.9958,42.3183,258.4266,0.9929,17.9619,258.3853,0.9992,-18.2026,257.4923,0.9678,69.8452,151.2733,0.9628,45.8153,149.8281,0.9544,22.0710,148.9184,0.9592,-1.7998,148.8688,0.9549,-37.9189,148.2996,0.9855
21,131.2785,200.4024,0.9650,107.3299,199.6399,0.9808,83.1424,199.0557,0.9976,59.1937,199.5498,0.9688,23.2749,200.4890,0.9807,91.1780,261.9257,0.9898,67.2999,260.0686,0.9858,43.2946,258.2321,0.9831,19.4997,257.8637,0.9744,-16.7434,257.7717,0.9596,71.0152,151.3413,0.9845,47.3509,150.2501,0.9758,23.3400,148.7025,0.9594,-0.9213,148.7022,0.9859,-37.0790,148.4914,0.9576
22,132.2374,200.4236,0.9770,108.4827,199.6390,0.9562,84.4597,199.1411,0.9615,60.5215,199.1233,0.9622,24.2691,200.5004,0.9947,92.5990,261.9683,0.9994,68.5494,260.2146,0.9921,44.6092,258.3491,0.9974,20.6270,257.5719,0.9552,-15.7148,257.6114,0.9943,72.3002,151.6613,0.9928,48.2748,150.2369,0.9646,24.4147,148.5334,0.9899,0.5816,148.3086,0.9797,-35.7754,148.8470,0.9521
23,133.7967,200.8532,0.9829,109.5861,200.0278,0.9708,85.8001,198.9112,0.9598,61.6855,199.0766,0.9595,25.5875,200.2939,0.9947,93.6847,262.1717,0.9870,69.5522,260.6409,0.9538,45.6117,258.4509,0.9811,21.6559,257.4038,0.9585,-14.1680,257.6670,0.9510,73.4972,151.6155,0.9532,49.8865,150.6403,0.9625,25.7291,148.5045,0.9780,1.5036,148.0799,0.9873,-34.4881,148.7438,0.9803
24,134.8607,200.9598,0.9820,110.8669,200.3719,0.9677,86.6180,199.2781,0.9598,62.6759,198.3289,0.9661,26.5939,200.0684,0.9809,94.4613,262.2953,0.9861,70.7306,261.0241,0.9767,46.6882,258.3495,0.9912,22.9430,257.1902,0.9888,-13.2638,257.5526,0.9557,74.9584,151.7321,0.9936,50.6856,150.6447,0.9789,26.6676,148.7653,0.9777,2.9046,147.7002,0.9622,-32.9860,148.4093,0.9869
25,135.9759,201.1140,0.9759,112.1007,200.2482,0.9993,88.0251,199.1082,0.9903,63.9947,198.1006,0.9757,27.8584,199.9793,0.9939,95.6855,262.3498,0.9647,72.1908,260.7083,0.9872,48.1308,258.5598,0.9871,24.1527,256.9405,0.9795,-11.6994,257.1542,0.9540,76.2727,152.1255,0.9627,51.6355,150.9890,0.9568,28.0109,149.3724,0.9942,4.1388,147.7655,0.9502,-31.8288,148.0499,0.9513
26,137.2332,200.7785,0.9939,113.2349,200.4776,0.9740,89.2941,199.2517,0.9828,65.0568,198.2692,0.9640,29.4114,199.4528,0.9536,97.0500,262.3801,0.9869,73.1672,261.0279,0.9514,49.3486,259.1315,0.9648,25.6187,256.9719,0.9625,-10.5965,256.3857,0.9854,77.0694,152.0160,0.9918,53.1694,150.9990,0.9884,29.2423,149.5707,0.9682,5.3387,147.3110,0.9511,-30.9972,147.8306,0.9906
27,138.4083,201.0117,0.9614,114.3609,200.8307,0.9831,90.2817,199.6828,0.9694,66.5343,198.2448,0.9695,30.4764,198.8581,0.9836,98.0214,262.4900,0.9665,74.4378,261.2071,0.9635,50.3626,259.1483,0.9955,26.2807,256.8009,0.9941,-9.4429,255.9777,0.9566,78.3494,151.8698,0.9816,54.4966,151.0959,0.9707,30.2883,149.8721,0.9634,6.7259,147.8572,0.9702,-29.6449,147.3538,0.9819
28,139.5301,200.8636,0.9758,115.5817,200.5466,0.9835,91.7032,199.8914,0.9841,67.6203,198.3098,0.9591,31.8318,198.3016,0.9535,99.7599,262.4819,0.9573,75.5004,261.0576,0.9582,51.6377,259.7496,0.9824,27.5003,257.2651,0.9980,-7.9701,255.7263,0.9669,79.4136,151.8959,0.9515,55.4306,151.3419,0.9865,31.5477,149.9065,0.9607,7.9210,147.6871,0.9952,-28.5399,147.0465,0.9961
29,140.9819,200.7897,0.9543,116.8759,200.7741,0.9690,92.7540,200.3646,0.9735,69.1312,198.8157,0.9975,32.6950,197.9849,0.9974,100.5749,261.9839,0.9652,76.6739,261.2702,0.9529,52.7263,259.9662,0.9581,28.8370,257.4008,0.9655,-7.1071,255.1745,0.9553,80.8762,151.6430,0.9601,56.8894,150.9852,0.9594,32.8792,150.1525,0.9511,8.7586,148.1687,0.9515,-27.2040,146.8175,0.9968
30,141.9848,200.4487,0.9703,117.9218,200.8177,0.9899,93.9101,200.4373,0.9839,70.0950,199.1646,0.9563,34.1211,197.6337,0.9689,102.0270,261.8721,0.9972,77.8628,261.1286,0.9699,54.0450,259.8387,0.9710,29.7553,257.7795,0.9702,-5.8635,255.1019,0.9620,81.9879,151.7314,0.9974,57.8813,150.8383,0.9508,34.0477,150.3332,0.9757,10.2141,148.3255,0.9963,-25.8053,146.1350,0.9518
31,143.1018,200.3911,0.9806,119.1783,200.3303,0.9596,95.2226,200.4330,0.9558,71.1870,199.3799,0.9614,35.1976,197.2383,0.9889,103.1217,262.0290,0.9592,79.4317,260.9818,0.9622,55.1436,260.1629,0.9773,31.4164,258.2294,0.9774,-4.3515,254.7035,0.9588,83.2543,150.9161,0.9757,59.4296,150.7453,0.9683,35.2819,150.5216,0.9866,11.2510,148.8165,0.9521,-24.8323,146.2255,0.9611
32,144.2408,200.0268,0.9738,120.3456,200.1750,0.9742,96.3252,200.8578,0.9797,72.3308,199.6001,0.9872,36.2581,197.1863,0.9826,104.1646,261.6255,0.9584,80.2014,260.8931,0.9859,56.3890,260.2907,0.9985,32.5777,258.1144,0.9700,-3.4527,254.7143,0.9511,84.5457,151.0334,0.9759,60.3924,150.8933,0.9802,36.2479,150.6956,0.9663,12.2932,149.3103,0.9874,-23.4545,146.1537,0.9576
33,145.7392,199.9751,0.9659,121.5103,199.9917,0.9757,97.6320,200.5367,0.9659,73.7120,199.8085,0.9670,37.4651,197.3701,0.9597,105.5731,261.4941,0.9705,81.8004,260.7304,0.9691,57.5700,260.2656,0.9596,33.7429,258.6565,0.9646,-2.1632,254.7342,0.9509,85.7212,150.9490,0.9710,61.4435,150.6046,0.9627,37.4875,150.7605,0.9947,13.4292,149.4675,0.9906,-22.1431,145.9333,0.9521
34,146.7983,199.8909,0.9814,122.9604,200.0637,0.9691,98.8240,200.2570,0.9635,74.4896,200.3327,0.9681,38.8908,197.5823,0.9925,106.9756,261.4498,0.9696,82.7670,260.5008,0.9541,58.7917,260.2971,0.9945,34.9543,259.0076,0.9884,-1.0469,254.9309,0.9505,86.7992,150.8179,0.9714,62.9816,150.4298,0.9774,38.8347,150.5349,0.9713,14.6145,149.8890,0.9772,-21.1940,146.3677,0.9822
35,147.9329,199.6020,0.9801,123.9471,199.7930,0.9670,100.0576,200.2876,0.9695,75.9633,200.4523,0.9831,40.2446,197.4431,0.9944,108.1035,260.9441,0.9829,83.7924,259.9541,0.9948,60.0073,259.8413,0.9522,36.0267,259.2128,0.9611,0.1511,255.4528,0.9857,87.9020,150.4361,0.9851,63.8091,150.3290,0.9823,39.9579,150.3655,0.9908,16.0718,150.0518,0.9577,-20.2379,146.7278,0.9809
36,149.1137,199.7095,0.9615,125.3066,199.2755,0.9924,100.8689,200.1026,0.9806,77.1940,200.4698,0.9891,41.4034,197.9662,0.9829,109.2785,261.0276,0.9733,85.1987,260.1069,0.9636,61.1181,259.6962,0.9892,37.1247,259.2033,0.9534,1.0303,256.1047,0.9750,89.2254,150.7517,0.9870,65.2812,149.7658,0.9935,41.0544,149.9776,0.9983,17.1467,150.0067,0.9623,-18.8579,147.0403,0.9639
37,150.6419,199.8868,0.9534,126.3173,199.3995,0.9667,102.3061,199.6132,0.9621,78.2539,199.9655,0.9738,42.2145,198.3635,0.9504,110.3196,261.2986,0.9581,86.6649,260.1572,0.9831,62.4419,259.2179,0.9511,38.6171,259.1466,0.9555,2.7261,256.1964,0.9781,90.6488,150.8166,0.9665,66.3798,149.7194,0.9848,42.2052,149.9255,0.9764,18.3344,150.0311,0.9823,-17.4665,147.7624,0.9850
38,151.3511,199.9206,0.9746,127.7753,199.3197,0.9917,103.6893,199.5285,0.9692,79.5041,200.2486,0.9961,43.5542,198.8940,0.9978,111.4652,261.2684,0.9978,87.5700,260.0583,0.9847,63.6816,258.7496,0.9507,39.3843,258.9924,0.9716,3.2953,256.3631,0.9845,91.4971,150.9575,0.9947,67.6764,149.8712,0.9797,43.5740,149.7366,0.9566,19.7424,149.8393,0.9736,-16.4050,148.1935,0.9501
39,152.9579,200.1442,0.9503,128.6918,199.2769,0.9746,104.9726,199.1353,0.9639,80.8213,199.6727,0.9769,44.8497,199.4414,0.9990,113.0032,261.7110,0.9512,88.7220,260.1027,0.9647,64.9021,258.8277,0.9780,40.7378,258.8735,0.9796,4.9387,257.2233,0.9945,92.8605,151.0376,0.9855,68.6272,149.9563,0.9517,44.6686,149.4587,0.9590,20.6777,149.4200,0.9910,-15.4486,148.4894,0.9935
40,153.8503,200.6655,0.9519,130.1112,199.4536,0.9695,105.9908,198.9207,0.9906,82.1149,199.4142,0.9516,46.1678,199.4508,0.9764,113.9548,261.4816,0.9851,90.1384,260.3401,0.9587,65.9792,258.3894,0.9687,42.1676,258.5936,0.9913,5.9967,257.3098,0.9697,93.9032,151.2231,0.9832,69.9823,149.8581,0.9844,46.0548,149.0298,0.9728,22.0209,149.5039,0.9955,-13.9195,148.9635,0.9764
41,154.7521,200.6012,0.9720,131.4560,199.2962,0.9894,107.1726,198.6957,0.9513,82.9988,199.4006,0.9728,47.2291,199.9364,0.9546,115.1327,261.7180,0.9953,91.1138,259.9500,0.9725,67.5380,258.4203,0.9673,43.2830,258.0077,0.9980,7.3020,257.4730,0.9674,94.9959,151.2730,0.9819,70.9956,150.0111,0.9608,47.3981,148.5512,0.9911,23.4960,148.8728,0.9581,-12.6560,149.1379,0.9975
42,156.1472,200.6675,0.9816,132.4276,200.0298,0.9924,108.6180,198.7902,0.9643,84.6218,198.6932,0.9592,48.2813,199.7058,0.9725,116.5519,262.1422,0.9665,92.4336,260.1791,0.9898,68.3834,258.3533,0.9557,44.5593,257.6483,0.9586,8.2704,257.5661,0.9608,96.3102,151.5621,0.9706,72.5569,150.2803,0.9923,48.5139,148.8034,0.9941,24.4900,148.6187,0.9633,-11.7611,149.2322,0.9753
43,157.4615,200.9683,0.9842,133.4486,200.1150,0.9860,109.4496,198.6698,0.9698,85.7052,198.3721,0.9873,49.5051,199.5015,0.9725,117.7722,262.0864,0.9741,93.7069,260.5514,0.9971,69.5768,258.5674,0.9837,45.7640,257.5034,0.9906,9.6954,257.6173,0.9682,97.5606,151.5469,0.9671,73.7412,150.5616,0.9722,49.5791,148.6581,0.9952,25.9692,148.4943,0.9564,-10.4984,149.1352,0.9947
44,158.9386,200.7950,0.9621,134.6864,200.1336,0.9805,110.7535,198.6155,0.9888,86.5927,198.1297,0.9889,50.8052,199.6020,0.9709,118.6798,262.0054,0.9865,94.8793,260.5727,0.9787,70.8701,258.5714,0.9944,47.0007,257.2654,0.9775,11.0377,257.4892,0.9614,98.7916,151.5347,0.9811,74.9994,150.8351,0.9909,51.0503,149.0362,0.9722,27.0108,148.4398,0.9593,-9.2268,149.3036,0.9546
45,160.0310,200.9936,0.9771,136.1598,200.4622,0.9896,111.8852,198.7310,0.9570,87.8347,198.0281,0.9722,51.8452,198.9579,0.9642,119.8141,262.3157,0.9628,96.0867,260.9586,0.9918,72.0834,258.8607,0.9576,48.1113,256.7663,0.9518,12.0866,257.2719,0.9915,100.0490,151.8284,0.9547,76.0183,151.1363,0.9798,51.9595,149.3546,0.9715,27.9001,148.0205,0.9541,-7.9637,148.9297,0.9984
46,161.0717,200.9832,0.9784,137.2624,200.1143,0.9676,113.1409,199.5047,0.9799,89.2917,197.9131,0.9651,53.1159,198.8323,0.9525,121.1508,262.2919,0.9711,97.3320,261.1077,0.9540,72.9791,259.0220,0.9869,49.3339,257.1957,0.9846,13.1395,256.5352,0.9880,101.2837,151.8951,0.9679,76.9062,150.7794,0.9677,53.0142,149.2748,0.9596,29.4661,147.6713,0.9895,-6.7680,148.3894,0.9735
47,162.3664,200.9257,0.9810,138.3947,200.5022,0.9501,114.3843,199.5284,0.9759,90.5750,197.8121,0.9504,54.2357,197.9948,0.9716,122.5688,262.4232,0.9903,98.4648,261.4510,0.9763,74.4598,259.3172,0.9896,50.7206,257.3269,0.9660,14.5935,256.2922,0.9625,102.2031,151.5414,0.9713,78.2161,151.4450,0.9603,54.3567,149.8875,0.9715,30.4600,148.0873,0.9999,-5.6392,148.0981,0.9925
