pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y,pt4_cam1_X,pt4_cam1_Y,pt4_cam2_X,pt4_cam2_Y,pt5_cam1_X,pt5_cam1_Y,pt5_cam2_X,pt5_cam2_Y,pt6_cam1_X,pt6_cam1_Y,pt6_cam2_X,pt6_cam2_Y,pt7_cam1_X,pt7_cam1_Y,pt7_cam2_X,pt7_cam2_Y,pt8_cam1_X,pt8_cam1_Y,pt8_cam2_X,pt8_cam2_Y,pt9_cam1_X,pt9_cam1_Y,pt9_cam2_X,pt9_cam2_Y,pt10_cam1_X,pt10_cam1_Y,pt10_cam2_X,pt10_cam2_Y,pt11_cam1_X,pt11_cam1_Y,pt11_cam2_X,pt11_cam2_Y,pt12_cam1_X,pt12_cam1_Y,pt12_cam2_X,pt12_cam2_Y
351.3445,429.6641,351.5219,429.7106,367.4967,460.8202,367.3181,474.0867,181.3963,399.7587,181.4986,399.6232,81.1773,399.4587,81.2548,399.5174,396.3439,389.9389,396.4563,389.6702,251.3051,414.7440,250.9466,414.8256,246.3589,439.6858,246.3678,439.8230,211.4369,407.8764,211.0743,407.7667,206.6386,434.6108,206.2775,434.4320,231.6566,359.9465,231.2507,359.6908,396.4016,409.7755,396.5646,409.9130,342.6522,364.2763,342.3803,350.7108
351.3853,429.5237,351.1623,429.8311,367.0457,460.3291,366.8298,472.3492,181.5317,399.7608,181.3084,399.5870,81.1114,399.3924,81.2300,399.6765,396.4236,389.8055,396.4763,389.5954,251.2951,414.5305,251.5493,414.5562,246.4060,439.5940,246.4118,439.5504,211.6869,407.3234,211.3162,407.6171,206.2848,434.5457,206.3901,434.2989,231.4657,359.7217,231.2714,359.4273,396.5724,409.6418,396.3261,409.3639,343.0897,364.6243,343.0397,352.5724
351.2369,429.2467,351.2295,429.4437,366.2308,459.6341,366.1210,470.4525,181.1930,399.3764,181.1818,399.2615,80.9729,399.4379,81.1616,399.2749,396.2383,389.6942,396.2959,389.3693,251.1611,414.2215,251.4129,414.4890,246.0461,439.1844,246.2111,439.7112,211.2626,407.6200,211.4012,407.4823,206.2256,434.3067,206.1683,434.3502,231.4236,359.3107,231.0977,359.3381,396.1202,409.3694,395.9521,409.2582,343.9028,365.5369,343.6757,354.3795
350.8254,429.2661,350.8220,429.2326,364.9919,458.7047,365.0382,467.7949,181.0999,399.3087,180.9015,398.9890,81.0720,399.2248,81.1786,399.4097,395.8777,389.3244,396.2299,389.1358,251.1883,414.0141,250.7534,414.5678,245.8788,439.1733,246.0111,439.2076,211.0701,407.3773,211.1248,407.1725,206.0228,434.2354,206.0522,434.4368,230.8847,359.3256,230.9309,359.3909,395.9898,409.3134,395.9331,409.4986,345.0868,366.3258,344.8297,357.4500
350.6328,429.0808,350.8766,429.1648,363.8409,457.8082,363.7037,465.0073,180.7103,399.2827,180.6076,399.3644,80.8082,399.1622,80.8952,399.1872,395.7812,389.2414,395.8367,389.2873,250.5362,414.1831,250.8972,414.3129,245.7357,439.1600,245.5277,438.8382,210.6607,407.0792,210.7676,407.3465,205.9435,433.8705,205.9588,434.2596,230.7688,359.0495,230.6369,358.6770,395.8774,409.2345,395.7476,408.9874,346.4299,367.2759,345.8530,360.2871
350.3423,428.7252,350.5052,429.1123,362.4227,456.9463,362.6702,461.3018,180.5067,399.2540,180.4431,399.0768,80.3829,399.3524,80.2528,398.8434,395.4248,388.7528,395.6973,389.2045,250.3898,414.1280,250.2889,414.1726,245.2608,439.1297,245.0919,439.0008,210.5953,407.1526,210.6433,407.2094,205.5554,433.9565,205.3301,433.9614,230.6421,359.3394,230.4576,359.3471,395.3624,409.1323,395.3353,408.9667,347.1841,368.1731,347.5538,363.5928
350.2468,428.8684,350.0553,428.9112,360.9814,455.6658,360.7877,457.3241,180.3852,399.0762,180.2438,399.0600,80.2282,399.0552,80.4811,398.7955,395.0616,389.0159,395.1093,389.3166,249.9766,413.9477,250.2224,413.9050,245.1735,439.0533,245.3467,439.1895,210.1754,407.0109,210.5084,407.1043,205.0299,433.9394,205.3884,433.9416,230.0948,359.0620,230.2440,359.0637,395.0433,409.3393,395.4347,408.8699,348.9276,369.2699,348.7322,367.6975
349.6290,429.1233,349.9585,428.9843,359.1207,454.8885,359.6098,453.7812,179.8061,399.1630,179.7996,398.7771,79.6899,398.9698,79.9668,398.7394,394.8978,389.0827,394.7307,389.2732,249.8797,413.7548,249.7816,413.9933,244.7981,439.1426,244.4843,438.8381,209.8868,407.0706,209.6357,407.1574,204.7505,434.0084,205.0599,433.9497,230.2652,358.9380,229.8549,359.0788,394.9404,408.9459,394.7233,409.0414,350.5244,370.4694,350.6314,371.3254
349.5569,429.0140,349.5040,429.1069,358.0963,453.3856,357.8950,450.3955,179.4920,399.0081,179.6228,398.8312,79.6743,399.0049,79.5741,399.2431,394.3148,389.3375,394.6257,388.8407,249.4141,414.1246,249.5371,414.2927,244.6850,439.1606,244.7487,439.3119,209.6122,407.0139,209.7075,407.0398,204.7165,434.0822,204.7670,434.3389,229.7077,358.9249,229.7702,358.9794,394.5587,409.0285,394.6118,409.0159,351.6186,371.3752,351.9656,374.8072
349.4028,429.1561,349.2739,428.9995,356.6619,452.5067,356.6101,446.3398,179.4637,399.1982,179.2854,399.0136,79.2569,398.6976,79.4276,399.1055,394.5105,388.9266,394.4000,388.9397,249.0913,413.8725,249.1930,413.9494,244.2410,439.1184,244.4303,438.9215,209.4780,407.3035,209.3955,407.3803,204.4318,434.2062,204.2472,434.0832,229.2493,359.2091,229.3946,358.9964,394.2703,408.9390,394.2340,409.1988,353.3564,372.5260,353.4031,378.3095
349.1952,429.0850,349.0874,429.2533,355.3389,451.3201,355.2123,442.9917,179.0377,399.3916,179.1817,399.1515,79.0354,399.0985,79.1087,399.2719,394.2312,389.1629,393.8623,389.4493,249.0308,414.1420,249.1540,414.0593,244.4042,439.3786,243.8916,439.1220,209.2175,407.4524,209.2594,407.0486,204.1270,434.1606,204.1074,434.0724,228.7340,359.3099,228.7706,359.2599,394.1372,409.2184,394.2406,409.0644,354.3222,373.6319,354.5683,382.1962
349.1222,429.2428,348.9992,428.9886,354.3347,450.6832,353.8081,440.3237,178.9129,399.3876,179.0877,399.2893,78.7756,399.3580,78.8881,399.4568,394.0335,389.2369,394.0815,389.1871,248.7680,413.9474,249.0454,414.4316,243.6513,439.2746,244.0069,439.1376,208.9041,407.5082,208.8589,407.2507,203.8687,433.9842,203.8637,434.2560,228.9560,359.1814,229.1063,359.1434,393.9093,409.4285,394.1694,409.5254,355.6398,374.4067,355.7491,384.5608
349.0574,429.4162,348.7915,429.4261,352.9388,449.9982,353.2100,438.0796,178.8398,399.1277,178.8745,399.3721,78.6535,399.2777,78.7428,399.5715,393.7554,389.2594,393.8133,389.2484,248.7010,414.1292,248.9009,414.3300,243.8192,439.4039,243.7330,439.5598,208.5630,407.6222,208.8554,407.5086,203.7017,434.5139,203.9255,434.5138,228.6723,359.5113,228.9150,359.4227,393.7963,409.3616,393.6845,409.6323,356.8207,374.9002,356.6041,386.6580
348.7167,429.6510,348.7337,429.5421,352.7345,449.4381,352.4505,436.4329,178.3822,399.3808,178.6442,399.4758,78.5185,399.7507,78.5922,399.8836,393.5581,389.5107,393.5002,389.7980,248.6090,414.8168,248.4111,414.6272,243.5377,439.8080,243.6989,439.6348,208.8110,407.6510,208.4738,407.7022,203.6762,434.8563,203.3835,434.6351,228.5264,359.4399,228.5319,359.5998,393.5244,409.4825,393.6781,409.7071,357.3695,375.7877,357.5062,388.5422
348.4820,429.6974,348.7143,429.7110,352.0322,449.1267,352.0610,435.4804,178.4086,399.7109,178.4274,399.9125,78.5776,399.7923,78.4828,399.7577,393.4207,389.7112,393.5484,389.7062,248.6306,414.9200,248.5857,414.7870,243.7291,439.7596,243.5129,439.8816,208.5891,407.8717,208.5518,407.6787,203.5873,434.9309,203.5011,434.8834,228.4666,359.8959,228.4512,360.0115,393.3341,409.5889,393.4701,409.7686,357.6770,375.8657,357.8037,389.7200
348.5015,429.9899,348.3343,429.8301,351.8383,448.8658,351.9601,435.0310,178.3052,400.0177,178.4871,400.2559,78.5566,400.2503,78.5681,400.0028,393.4056,390.0077,393.5502,390.1722,248.6368,415.0276,248.5960,415.0827,243.5213,439.8651,243.3511,440.0476,208.5720,407.9863,208.5021,408.0530,203.5060,435.0099,203.2747,435.0187,228.3775,359.9522,228.4198,359.8048,393.3986,410.2082,393.5139,410.0530,357.9904,376.1533,357.9997,390.2327
348.6066,430.0929,348.6382,430.1764,351.8539,449.0152,352.3214,435.4389,178.2918,400.1445,178.6105,400.0554,78.8688,400.2993,78.3901,399.7854,393.5136,390.3313,393.6492,389.8617,248.5578,415.1611,248.4703,415.2655,243.4331,440.1467,243.3416,440.2447,208.4191,408.1821,208.5914,408.0479,203.8521,435.4881,203.3651,435.0735,228.7681,360.1501,228.5085,360.1352,393.3943,410.2145,393.4642,410.1646,357.8364,375.9696,357.8358,389.5425
348.7330,430.0670,348.5397,430.2553,352.6618,449.4531,352.5011,436.3367,178.8596,400.1372,178.7387,400.1421,78.5528,400.5094,78.9167,400.1867,393.4126,390.3924,393.6660,390.3496,248.4611,415.5663,248.6116,415.4178,243.5362,440.1423,243.5914,440.2043,208.7001,408.2321,208.8231,407.9981,203.7664,435.2638,203.2975,435.3561,228.7506,360.4739,228.3289,360.5247,393.4112,410.1921,393.3681,410.1567,357.3410,375.6204,357.3597,388.8323
348.5503,430.4116,348.7689,430.4466,353.3145,450.0088,353.2144,438.1832,178.6098,400.8984,178.9662,400.6966,78.7243,400.6915,78.6582,400.4532,393.3919,390.4620,393.9675,390.4761,248.7419,415.5938,248.6347,415.5211,244.1578,440.4033,243.6404,440.4885,208.6334,408.7368,208.7601,408.2895,203.5979,435.4276,203.7485,435.4932,228.7033,360.7008,228.8640,360.8450,393.9827,410.3953,394.0623,410.2665,356.8346,374.9851,357.0177,386.8978
348.9698,430.5436,349.0371,430.4762,354.5986,450.6955,354.0892,440.1823,178.8632,400.6186,179.1589,400.8948,79.1116,400.7108,78.8586,400.9691,393.8453,390.6831,393.8467,390.8541,249.1999,415.8224,248.9402,415.5995,243.7115,440.8777,243.9036,440.8080,208.6604,408.6406,209.2012,408.8213,203.9522,435.4456,203.9668,435.6758,228.9191,360.6586,228.6335,360.4513,393.8899,410.3561,393.6950,410.8691,355.9284,374.4223,355.8555,384.7136
349.2200,430.6329,349.1827,430.7123,355.3066,451.5533,355.2778,443.0290,179.1369,400.7083,179.0353,400.5290,79.1338,401.1246,78.7379,400.8612,394.1408,390.6518,394.0831,390.5255,249.2782,415.9316,249.1124,415.6138,243.8405,440.9604,244.2309,441.0033,209.2541,408.7205,209.1162,408.7091,203.8940,435.7451,203.9794,435.5348,229.1309,360.9317,229.1186,360.7660,394.1859,410.7494,394.3867,410.7319,354.6915,373.5094,354.6208,381.4428
349.3521,430.6939,349.2549,430.7087,356.4567,452.4867,356.6712,446.5177,179.3477,400.5720,179.3204,401.0022,78.9740,400.6978,79.4041,401.0460,394.3471,390.7451,394.3551,391.0212,249.3739,415.9405,249.3491,415.7616,244.7053,440.9073,244.5122,441.2384,209.3763,409.1030,209.5064,409.0760,204.3824,436.0322,204.0698,436.1581,229.2537,361.0201,229.6250,360.9438,394.3913,410.8710,394.2450,410.9628,353.6420,372.6364,353.4236,378.3977
349.9681,430.7904,349.6939,430.8606,357.8899,453.5865,357.9778,450.0843,179.5822,400.8949,179.6325,401.0165,79.8094,400.9514,79.7047,401.2222,394.4331,390.8650,394.7275,390.9064,249.5883,416.0966,249.6705,415.9673,244.5474,441.1692,244.7256,441.1518,209.3242,408.9398,209.8617,408.9986,204.8502,435.9231,204.5748,436.4283,229.6398,360.9694,229.7867,360.9606,394.8235,410.9584,394.4258,410.9893,352.0506,371.8659,351.8841,375.0216
350.0292,430.9203,349.7769,431.3826,359.7038,454.9180,359.5859,453.5667,179.9942,400.8382,179.9715,400.7764,79.7480,401.0693,80.0456,400.6439,394.6544,390.8583,394.5531,390.9980,249.6190,415.7296,249.9599,416.1292,245.0973,441.1901,244.7844,440.7899,209.8019,409.2347,209.8874,408.9636,204.8430,435.8444,204.8932,436.0532,229.7281,361.0470,229.9462,360.9968,394.9037,410.8696,394.8532,411.0117,350.4922,370.5209,350.5235,371.4808
350.1494,430.8800,350.2868,430.7800,361.0109,455.7629,360.9657,457.4235,180.3611,400.9654,180.1577,400.9539,80.4328,400.9079,80.3365,400.8068,394.9494,391.0243,395.2055,390.7247,250.0432,415.7541,250.1518,416.0292,245.1139,440.7390,245.1616,440.8527,210.2001,409.0852,210.2562,409.0807,205.3941,436.2257,205.4608,436.1655,230.1542,361.1382,230.4160,360.9320,394.8174,410.9439,395.3533,411.2801,348.7860,369.0640,349.1022,367.5510
350.5128,431.1347,350.3406,430.7724,362.5873,456.6446,362.6314,461.2661,180.4827,400.7993,180.4393,400.8711,80.2925,400.9392,80.6961,400.9851,395.4164,390.7355,395.3593,390.8832,250.4041,416.1752,250.5953,416.0230,245.4856,441.1658,245.4565,440.9043,210.5270,409.0431,210.3950,408.9770,205.4840,436.0361,205.4382,436.2791,230.5952,360.5651,230.3492,360.9988,395.5753,410.8217,395.4503,411.0668,347.4574,368.1287,347.5380,363.6782
350.5761,430.7151,350.8494,430.6555,363.9933,457.8522,364.1349,464.7965,180.8351,401.0163,181.0437,400.7621,80.6588,400.8248,80.6560,400.8423,395.8552,390.9541,395.8983,390.8392,250.9084,415.9916,250.8599,415.8999,245.9080,440.7741,245.7317,440.9290,210.8104,408.9872,210.6307,408.9741,205.6098,435.7903,205.6451,435.8218,230.7743,360.4523,230.7231,360.7434,395.7125,410.8824,395.5048,411.0003,346.1236,367.1888,345.9156,360.1833
351.0682,430.6118,351.0315,430.5765,364.8673,458.9626,364.7998,467.8548,180.9932,400.7463,180.9475,400.7400,81.1602,400.9182,80.8948,400.5677,396.0371,390.7727,396.0099,390.9861,250.9565,416.0064,250.9937,415.9964,245.9349,440.6562,245.9978,440.9239,211.0424,408.6461,210.9939,408.6262,205.8692,435.4727,205.9936,435.7216,230.6483,361.0079,231.0223,360.8828,396.2383,410.5865,396.1442,411.1011,345.0823,366.0637,345.0435,357.4313
351.0419,430.6101,350.9395,430.5321,366.1495,459.5776,366.2843,470.3262,181.3124,400.6929,181.2661,400.9173,81.5250,400.6469,81.1331,400.6674,395.9516,390.6902,396.5179,390.7802,251.2284,415.5009,251.2228,415.5097,246.1064,440.5095,246.1049,440.4595,211.1493,408.5837,210.9211,408.9028,206.0944,435.5757,206.1355,435.5479,231.1753,360.7808,231.1256,360.8528,396.0696,410.5340,396.1186,410.5112,344.0686,365.3263,343.6787,354.2408
351.5739,430.5712,351.2994,430.6647,366.7002,460.4574,366.9248,472.7285,181.3686,400.2912,181.5009,400.3552,81.2878,400.7158,81.1824,400.2947,396.2420,390.4255,396.1165,390.4526,251.3700,415.6570,251.1989,415.3224,246.2445,440.4778,246.2785,440.3403,211.2972,408.3851,211.4387,408.5257,206.1999,435.5221,206.3896,435.4300,231.2863,360.5979,231.4356,360.6318,396.3496,410.4267,396.2170,410.4729,342.9571,364.7952,343.0715,352.6000
351.8144,430.2584,351.6253,430.3959,367.6753,460.8531,367.3731,473.8370,181.5483,400.4129,181.3569,400.1308,81.3446,400.3488,81.5314,400.4194,396.5522,390.3722,396.6526,390.3793,251.4183,415.3610,251.4476,415.3063,246.3700,440.1923,246.6789,440.1228,211.2338,408.4186,211.3718,408.2595,206.5749,435.2242,206.4843,435.2215,231.4037,360.3309,231.3900,360.3170,396.4652,410.2322,396.2335,410.0035,342.2561,364.3640,342.3194,351.2154
351.3638,430.1952,351.3896,430.0596,368.1677,460.9726,367.9593,474.7665,181.4286,400.0795,181.4932,400.2578,81.5175,400.0547,81.1512,400.1873,396.3567,389.9531,396.4915,389.9164,251.6242,414.8294,251.6287,415.1864,246.5817,440.2366,246.4111,440.0521,211.5662,408.0339,211.4036,407.8242,206.7027,434.9349,206.4806,435.1516,231.4136,360.0246,231.5234,360.2316,396.6052,410.0262,396.7005,409.9265,342.1951,364.2187,342.1816,350.2885
351.3845,430.2311,351.5436,429.9937,368.0109,461.0648,367.6911,475.0003,181.6255,399.7848,181.5297,400.0068,81.8755,400.2249,81.3840,400.0082,396.5004,389.7885,396.7996,389.8153,251.2328,414.9173,251.4920,414.8554,246.3598,439.8597,246.4103,439.6556,211.4601,407.9333,211.3848,407.9312,206.6178,434.7692,206.4689,434.9603,231.3049,359.6397,231.5373,360.0616,396.3879,409.9386,396.4964,409.7483,341.7098,363.9407,342.0307,350.2073
351.3849,429.8316,351.2620,429.6215,367.6218,460.6636,367.8710,474.3261,181.7327,399.5867,181.4652,400.0799,81.4848,399.8370,81.4320,399.9610,396.4594,390.2087,396.5323,389.6439,251.6479,414.7749,251.3303,414.7310,246.4179,439.8505,246.4229,439.7480,211.4000,407.8567,211.4498,407.5298,206.6355,435.1156,206.7159,434.7592,231.2723,359.9259,231.0220,359.6056,396.7210,409.6969,396.5126,409.5298,342.1066,364.3299,341.9598,350.8451
351.2760,429.6767,351.5110,429.7788,367.3021,460.4508,367.1389,473.0792,181.7752,399.7276,181.6193,399.5146,81.5224,399.3989,81.5890,399.5917,396.4750,389.5149,396.3025,389.7181,251.2870,414.6899,251.1552,414.3722,246.4048,439.6689,246.5098,439.5414,211.4858,407.5519,211.2969,407.5256,206.2337,434.4287,206.4359,434.6906,231.2395,359.5633,231.5657,359.6190,396.5782,409.5389,396.2353,409.5100,342.6371,364.3637,342.7379,351.6818
351.3162,429.4886,351.1196,429.6210,366.6867,459.8218,366.4331,471.1735,181.1904,399.1805,181.3320,399.3361,80.9833,399.2876,81.1133,399.4862,396.1948,389.5422,396.0818,389.5491,251.1744,414.5632,251.3703,414.5926,246.1385,439.5819,246.2094,439.6123,211.2451,407.4471,211.4337,407.4739,206.1898,434.4336,206.3291,434.5519,231.1402,359.2693,231.0444,359.4576,396.2024,409.2138,396.4021,409.4704,343.4173,365.1699,343.3971,353.8654
350.8592,429.4704,350.9365,429.1832,365.5016,459.3323,365.2356,468.5241,181.1882,399.2505,181.1538,399.3540,81.0633,399.1768,81.2110,399.6558,396.2003,388.9088,395.9423,389.2383,251.1897,414.1270,250.8187,414.2226,246.0935,439.4806,245.8510,439.0544,210.8887,407.4887,211.1912,407.2563,206.1222,434.3740,206.0759,434.3061,231.1165,359.1721,231.0220,359.1879,396.0844,409.2795,396.0773,409.4468,344.6688,365.8033,344.3055,356.3565
350.6939,429.3386,350.9923,429.2193,364.3814,458.1539,364.3015,465.7779,180.8457,399.2522,180.5700,399.3082,80.7280,398.9529,80.7579,399.1429,395.6554,389.0820,395.9714,389.4048,250.6015,414.3080,250.7910,414.2837,245.7694,439.0155,245.9733,439.1729,211.1234,407.1806,210.8036,407.1539,205.6402,434.3426,205.7741,434.3247,230.9417,358.9807,230.8726,359.1150,395.5580,409.1873,395.5829,409.0747,345.6155,366.9009,345.8094,359.1800
350.5479,429.2799,350.4070,429.2767,362.7997,457.0750,362.7697,462.2494,180.5391,399.1307,180.4520,398.8197,80.6011,399.0237,80.3810,399.0418,395.4835,388.9004,395.4970,389.0187,250.6749,414.0122,250.7264,414.2020,245.7427,439.0873,245.5414,439.4353,210.4304,407.2106,210.7084,406.8888,205.5528,434.0610,205.3036,434.2135,230.8855,359.1412,230.4016,359.1228,395.5577,409.3089,395.5164,409.4410,347.0616,367.8286,347.1152,362.4827
350.3050,429.0773,350.3489,429.1175,361.3721,455.9132,361.6849,458.7347,180.2911,399.3938,180.1838,398.9382,80.3263,398.8402,80.4192,399.1470,395.6789,389.1606,395.3794,388.9185,250.4320,414.3914,250.5935,414.2658,245.2766,438.9896,245.6384,438.8454,210.0104,407.1587,210.1535,407.0688,205.2833,433.8696,205.3677,433.8432,230.2190,358.9200,230.2871,358.8704,395.3632,408.9231,395.1081,408.9794,348.7619,368.6528,348.6340,366.0408
350.2543,429.3203,350.0280,428.8436,360.0239,454.9181,360.0963,455.0133,179.7181,398.9309,180.0179,399.0074,80.0668,398.9800,79.9273,399.0157,395.1249,388.7667,394.8099,388.8575,249.9274,414.0460,249.7924,413.8541,245.2760,438.7438,245.1126,439.0888,210.0556,407.0133,210.0028,406.8978,205.2822,433.9498,204.9731,433.9511,229.8693,359.0554,230.1515,358.9980,394.8186,408.9584,394.9703,408.8116,350.0394,369.6894,350.0313,369.7603
349.7112,429.0227,349.9944,428.9653,358.4108,453.5503,358.5579,450.9505,179.8138,398.9763,179.9439,399.0418,79.8758,399.1452,79.6597,399.0654,394.7657,388.9289,394.7529,388.8948,249.8682,413.9328,249.7487,413.9264,244.6379,439.1127,244.4000,438.9063,209.6825,407.0858,209.8020,407.1985,204.9250,434.0089,204.7909,434.0222,229.7728,359.1166,229.9384,358.9614,395.0572,409.0454,394.8777,409.1364,351.3955,371.1592,351.6819,373.6877
349.3279,429.0255,349.5793,428.9152,357.0495,452.7941,356.8968,447.4002,179.6349,398.8043,179.6017,399.0055,79.5234,398.8833,79.5590,399.1046,394.5841,389.1193,394.6884,388.9852,249.3564,414.0680,249.5575,414.1008,244.6340,438.9467,244.2694,438.9578,209.5384,406.8844,209.4636,406.8175,204.4264,434.1526,204.2469,434.0824,229.4333,358.9651,229.3693,359.2709,394.5525,409.1507,394.1039,409.0525,352.9748,372.2949,353.0108,377.6669
349.3792,429.2397,349.0556,429.1109,355.8910,451.7549,355.7922,444.4122,179.3066,399.1313,179.1485,399.1819,79.2649,399.0858,79.3384,399.2565,394.1580,389.2279,394.0186,389.2164,249.1987,414.2922,249.5736,414.0815,244.5091,438.9979,244.0615,438.9911,209.1623,407.2798,209.2466,406.9590,204.1409,434.3303,204.1449,434.2415,229.1815,359.2225,229.3659,359.0692,394.1261,409.1436,394.2748,409.0095,354.4625,373.2820,354.1033,380.8000
