Rpectbase_X,Rpectbase_Y,Rpectbase_Z,Rpecttip_X,Rpecttip_Y,Rpecttip_Z,Lpectbase_X,Lpectbase_Y,Lpectbase_Z,Lpecttip_X,Lpecttip_Y,Lpecttip_Z,Rpelvicbase_X,Rpelvicbase_Y,Rpelvicbase_Z,Rpelvictip_X,Rpelvictip_Y,Rpelvictip_Z,Lpelvicbase_X,Lpelvicbase_Y,Lpelvicbase_Z,Lpelvictip_X,Lpelvictip_Y,Lpelvictip_Z,snout_X,snout_Y,snout_Z,mid1_X,mid1_Y,mid1_Z,mid2_X,mid2_Y,mid2_Z,mid3_X,mid3_Y,mid3_Z,peduncle_X,peduncle_Y,peduncle_Z,caudaltip_X,caudaltip_Y,caudaltip_Z
218.5080,490.2237,3.9067,214.6697,517.7357,-10.3833,215.5604,476.0500,3.7162,220.2405,452.8722,18.0600,173.9623,494.8054,1.0587,183.2264,504.7838,-5.7328,171.4747,482.8284,1.3754,162.2407,472.6724,-5.8847,237.4318,476.2613,-2.5311,214.8491,483.3807,2.1270,191.1291,488.1707,3.2176,166.7912,488.9275,-0.0155,142.7812,492.0654,-3.3561,120.2105,501.3206,-2.2724
220.2611,489.3969,2.9283,216.6521,516.7002,-11.1428,217.2512,475.1112,3.0675,221.7705,452.0160,16.6015,175.9875,495.5991,2.5070,185.4501,505.6567,-4.3217,173.2861,483.8974,2.5750,164.0128,473.5940,-4.4370,239.3143,475.5220,-3.0044,216.1019,482.7809,0.8706,192.8916,488.5070,3.8728,168.4858,489.6824,1.1977,144.4714,491.5085,-2.6275,121.6592,499.2669,-3.3799
221.6730,488.1042,1.8250,218.2716,515.8309,-12.1604,218.8832,474.0163,1.6154,223.5017,450.8721,15.5222,178.2342,496.2271,2.9919,187.4479,506.5040,-3.4153,175.5360,484.6455,3.2163,166.1795,474.2323,-3.2930,241.1582,474.3544,-3.3798,218.0025,481.8219,-0.1141,194.8527,488.3674,3.2378,170.6069,490.6441,2.0219,146.4204,490.7565,-2.0723,123.1785,497.4563,-3.5143
223.2229,487.3938,0.5508,220.2488,514.6786,-12.5515,220.4289,473.0414,0.6889,224.3436,449.9810,13.8321,179.7629,497.1837,3.3677,189.3692,507.2424,-2.7139,177.3534,485.1506,3.5231,167.8838,475.3655,-2.5728,242.5833,473.6447,-3.8438,219.5707,480.9818,-1.3233,196.4688,488.3076,2.6722,172.8651,491.2634,3.1361,148.0604,491.2507,-0.9568,124.5495,495.5169,-3.6987
225.0103,485.8353,-0.1242,222.8305,512.9077,-12.3122,221.6026,471.9682,-0.1690,225.3375,448.9276,11.7482,182.0117,497.1387,3.8869,191.3226,507.5333,-2.1055,179.1095,485.5501,3.9098,169.7799,475.1307,-2.0312,244.3570,473.0960,-3.5150,221.3686,479.5589,-2.3839,198.4591,487.8338,1.9146,174.7497,491.9678,3.5210,150.1006,491.9669,0.2095,126.1046,494.7265,-3.1444
226.2545,484.9553,-0.7534,225.6080,511.2027,-10.3141,223.6100,470.6552,-0.8826,225.0964,447.7889,8.1912,183.8559,497.6933,3.3395,193.0497,507.7544,-1.7035,181.2005,485.6955,3.4413,172.3507,475.6255,-1.6643,245.8978,472.5042,-2.8272,223.1197,478.3657,-3.0875,199.8636,487.0164,0.6592,176.7904,492.4482,3.8766,152.2196,492.9455,1.3745,128.0883,494.1583,-2.6846
228.3827,483.6895,-0.9221,230.4008,508.3695,-5.4804,225.1770,470.0284,-1.4711,223.0444,446.4396,3.1924,185.6394,497.1480,2.7218,194.6305,507.6625,-1.6474,183.1456,485.5994,2.5667,174.3281,475.2060,-1.7480,247.8295,472.1353,-2.0036,224.4318,477.3723,-3.6158,201.3896,485.8286,-0.4124,178.4772,492.7389,3.2406,154.1501,493.9191,2.1008,129.6885,493.8117,-1.5574
229.9251,483.0502,-1.0020,236.1064,505.9224,1.1726,226.9660,468.9479,-1.0453,220.3978,445.4499,-3.9251,187.2149,496.8824,2.0955,195.7887,507.1863,-1.6921,184.9233,484.8829,1.7825,176.4821,474.6617,-1.4203,249.7147,472.2190,-1.0574,226.2158,476.6500,-3.8809,203.4399,484.4951,-1.3976,180.6993,492.3616,2.8540,156.5113,495.0075,3.1304,131.6257,494.4088,-0.8725
231.5371,482.2284,-0.6513,241.4145,503.5317,7.1618,228.5438,468.4531,-1.0033,217.8337,444.9464,-8.5705,189.1854,496.0466,0.9994,197.1150,506.1910,-2.1330,186.4506,484.0147,0.7886,178.5711,473.6121,-1.8652,251.5174,472.3958,0.1467,227.6757,476.1327,-3.3618,204.9067,483.3143,-2.4459,182.0548,492.0523,1.7802,158.2796,496.0707,3.6064,133.6918,495.0130,0.4321
233.2583,482.0694,0.2109,245.4319,502.0775,11.1784,230.4132,467.9717,-0.0317,217.3825,444.2153,-11.3242,190.4754,494.3481,-0.3764,198.1509,505.2531,-2.2527,187.9759,482.6867,-0.4446,180.9878,472.0103,-2.0698,253.6500,472.3495,1.2025,229.7023,475.5162,-2.6426,206.2915,481.6720,-3.0646,183.8070,490.9090,0.8022,160.2459,496.6073,3.4502,135.7577,496.5063,1.5945
235.2000,482.0930,0.5827,248.1311,501.5862,13.8176,232.1000,467.7605,0.5323,218.2683,444.0173,-11.8286,191.9553,493.4941,-1.3260,198.6911,504.1862,-2.2439,189.8288,481.4893,-1.5098,183.0744,470.7697,-2.1918,255.3398,472.5569,2.2744,231.1908,475.2971,-1.9271,207.8958,480.6213,-3.5727,185.3931,489.8475,-0.1944,162.3735,496.6983,3.3965,137.8553,497.4566,2.4155
236.8136,481.6841,1.9220,250.2478,501.0343,15.6950,234.0120,467.8515,1.8308,219.5702,443.9586,-11.5530,193.7016,491.8204,-2.5980,199.4357,502.5930,-2.3145,191.1436,479.8958,-2.1829,185.1034,468.9609,-2.3821,257.0710,472.7855,3.0485,233.0721,475.5473,-0.7574,209.5425,479.3597,-3.3438,186.9324,488.4449,-1.3166,164.0880,496.7225,2.7354,140.1085,498.8602,2.8354
238.9909,481.9201,3.3935,252.2823,501.3175,16.9111,235.9741,468.1355,2.9876,221.3618,444.2316,-10.8258,195.3537,490.1181,-3.0417,200.1276,501.2918,-2.2516,192.7063,478.4991,-2.9683,187.7871,466.9504,-2.0109,258.9880,472.7025,3.6407,234.8500,475.3526,0.3796,211.2846,478.5763,-3.6523,188.3498,486.7217,-2.3948,165.8160,496.0949,1.8306,141.9681,499.8841,3.4420
240.6250,482.5004,4.1221,254.3263,501.7126,18.1383,237.4323,468.5257,3.9980,223.2027,444.6762,-10.0670,196.5605,488.9261,-3.5579,201.2326,500.2260,-1.5639,194.1950,477.2323,-3.4096,189.9635,465.6940,-1.6617,260.8837,472.9039,3.6198,236.7681,475.4963,1.4182,212.9281,478.1297,-2.7342,189.8751,485.0446,-2.9840,167.2245,495.0454,0.9650,144.1566,500.5731,3.6652
242.5680,482.8867,4.8581,256.2898,501.8357,19.4404,239.5640,468.6171,4.9274,224.9462,444.9437,-9.0867,198.2309,487.6400,-3.4855,201.7248,499.0512,-1.0811,195.9695,475.9386,-3.5981,192.4545,464.4381,-1.0483,262.6089,472.4046,3.2717,238.6329,475.8505,2.3317,214.8313,477.9868,-1.8509,191.3719,483.8128,-3.2861,169.0496,493.7485,-0.1195,145.7978,501.1391,2.9629
244.6910,483.4422,5.8770,258.3853,502.3277,19.9442,241.8250,469.1283,5.6119,226.9016,445.6266,-8.5614,199.7822,486.9192,-3.4321,202.4051,498.4203,0.0139,197.3649,474.8758,-3.5752,194.9237,463.1233,-0.2590,264.4984,472.2913,2.7032,240.7116,476.2778,3.1011,216.5645,478.1166,-0.9021,192.9172,482.4597,-3.4415,170.3915,492.2667,-1.3099,147.5555,500.7764,2.5283
246.5495,483.3334,6.1204,260.4176,502.5789,20.0349,243.3385,469.4032,5.9790,228.6036,445.7778,-8.2935,201.6066,486.1263,-2.6981,203.3056,498.1394,1.1410,199.1296,474.5403,-3.0140,197.5667,462.6671,1.5821,266.1879,472.0833,1.8271,242.6946,476.8088,3.4823,218.4400,478.5170,0.2209,194.4287,481.5010,-3.1766,171.8830,490.2209,-2.1829,149.1760,500.4309,2.0778
248.3927,483.3213,6.0219,262.0402,502.8452,19.8889,245.3892,469.6110,5.8147,230.6095,445.6543,-8.1015,203.4663,486.1337,-2.1054,204.2913,498.2394,3.2227,201.3756,474.2587,-1.9086,200.2949,462.1798,2.8884,267.7761,471.1208,0.6499,244.4139,476.9808,3.3096,220.5637,478.7948,1.1997,196.2204,480.7188,-2.6630,173.1927,488.4047,-2.9429,151.1607,499.0795,0.8784
250.1748,483.2950,5.5218,263.7743,502.8931,19.5534,247.2147,469.3190,5.4677,232.5680,445.6262,-8.5515,205.2138,486.0144,-0.8903,204.8624,498.4267,4.5615,202.8624,474.3267,-0.7347,203.0040,461.9117,4.8835,269.6450,470.6298,-0.2462,246.2249,476.8435,3.2779,221.9332,479.2422,2.1661,198.2406,481.0075,-1.8664,174.9222,486.5705,-3.3605,152.6182,497.5323,-0.4648
251.8223,483.0715,4.9112,265.3844,502.1950,18.5174,248.7130,468.8578,5.0733,234.1546,445.1559,-8.7934,207.5597,486.4324,0.4543,206.0211,498.9729,6.4139,204.8832,474.6855,0.1068,205.4384,462.6677,6.3088,271.2915,469.6960,-1.3447,248.1291,476.3912,2.7022,224.1218,480.2047,3.0270,199.8052,480.7408,-0.9994,176.1554,485.5380,-3.3109,153.9900,495.5839,-1.5757
253.8962,482.6885,3.7861,266.8551,502.0884,16.8886,250.7601,468.3318,3.8060,237.1181,444.6457,-9.1743,209.2899,487.1714,1.1881,207.5548,500.0018,7.6770,206.9739,475.5173,1.4530,208.3771,462.9712,7.6918,272.9302,468.8230,-2.5670,249.7227,476.2605,1.9710,226.3593,480.6454,3.6456,202.0826,481.3739,0.0987,177.8303,484.6180,-3.4481,155.2422,493.4509,-2.2528
255.2365,481.3597,2.7868,267.3294,501.8820,14.1886,252.1898,467.5030,2.8350,239.6587,443.7729,-8.6269,211.4264,487.7780,2.5120,209.0577,500.5259,9.2127,208.4662,476.2391,2.4750,211.2155,463.2929,9.2581,274.4346,467.5276,-3.0689,251.5626,475.2819,0.8702,228.0911,481.1257,3.3836,204.0702,481.9917,0.9338,179.7405,483.7026,-2.9213,157.0750,491.9385,-3.3875
256.7339,480.6228,1.5538,266.6030,501.9587,9.5389,253.8206,466.5655,1.6528,243.3786,443.0569,-6.2991,213.1986,488.8397,3.3117,210.2173,501.8514,10.0360,210.8498,476.7877,3.0982,213.5089,464.1007,10.1634,276.0232,467.1128,-3.5005,252.8653,474.4362,-0.4111,229.8905,481.0423,3.3930,205.9693,483.1772,2.4767,181.5012,483.7935,-1.7270,158.2820,489.7556,-3.5852
258.7861,479.3783,0.6758,265.0663,502.1946,2.8686,255.7432,465.5315,0.5194,248.7922,441.9962,-1.7445,215.5966,489.3817,3.3140,211.4893,502.3436,10.5732,212.6177,477.6432,3.3359,216.0879,464.6759,10.5855,277.8242,466.2577,-3.5030,254.8368,473.2982,-1.6540,231.6485,480.8876,2.9159,208.1496,483.8661,3.0984,183.2381,484.0017,-0.8106,159.9496,488.2810,-3.6842
259.9679,478.7567,-0.3039,262.4174,503.1497,-4.6885,257.4296,464.2545,-0.2402,255.0557,440.9873,3.9367,217.4146,489.9758,3.4869,213.3249,502.8857,10.9130,214.8736,478.3189,3.5626,218.4021,465.0431,10.9110,279.4296,465.7386,-3.2970,256.4585,472.1487,-2.5506,233.6626,480.2384,1.8283,209.9180,484.3800,3.4399,185.5107,484.3861,0.2217,161.5563,487.0155,-3.2775
261.8716,477.4776,-0.8557,261.3193,503.5527,-10.2131,258.8711,463.5208,-0.7674,260.1909,440.0277,8.5142,219.1003,490.0765,3.2805,214.8278,503.0604,10.2698,216.3869,478.5705,3.3874,220.5814,465.0695,10.6477,281.3298,465.0204,-2.7425,257.7693,470.9724,-2.7006,235.1555,479.2812,0.5765,211.8945,485.1165,3.6511,187.4899,485.4814,1.3146,163.2435,486.5103,-2.6272
263.2083,476.2031,-1.2236,260.8701,503.6953,-12.9447,260.3995,462.1658,-1.1216,263.5823,439.2591,10.8447,220.6283,489.8116,2.8755,216.4928,502.8475,9.8444,218.6149,478.3833,2.8674,222.9621,464.6272,9.5831,283.1042,465.0386,-1.8017,259.4705,469.9748,-3.3698,236.9141,478.2919,-0.2363,213.8059,484.8737,3.2650,189.5864,486.0896,2.3840,164.7639,486.3849,-1.7668
265.4765,475.8537,-1.2121,261.8740,502.9764,-14.5196,261.9575,461.4502,-1.4279,266.3344,438.3259,12.3014,222.5879,489.1529,2.0925,217.9475,502.4542,8.6921,220.3082,477.6111,1.9858,224.6290,464.0426,8.4455,284.6354,464.7628,-1.0319,261.4794,469.3469,-3.3171,238.6943,477.1147,-1.3002,215.3721,485.1448,2.6090,191.2724,487.2995,2.9909,166.7778,486.9918,-0.6231
266.8843,475.1045,-0.8083,263.4159,502.5714,-14.2273,263.7216,460.5349,-0.6567,268.5029,437.6073,13.0109,224.1526,488.2802,0.5126,219.8155,501.6248,7.0782,221.5232,476.6196,0.9716,226.3484,463.0968,6.9547,286.6412,464.8811,0.3203,262.9531,468.5775,-3.3569,240.1219,475.5001,-2.2681,217.3437,484.4992,1.7843,193.5059,488.5685,3.6672,169.1498,487.8980,0.1902
268.8953,474.3028,-0.1197,264.8492,502.5480,-14.0808,265.2437,460.4289,0.0690,270.1699,437.1277,13.7951,225.7556,487.2645,-0.4389,221.5456,500.4843,5.4958,223.3106,475.4255,-0.2255,227.6921,462.0139,5.3775,288.5697,465.0071,1.6417,264.4921,468.0382,-3.0779,241.5647,474.3044,-3.1514,218.6854,483.5539,0.8795,195.6391,488.7365,3.1606,170.8718,488.9086,1.4174
270.2440,474.1706,0.8793,266.5597,502.1051,-13.2279,267.2606,460.1870,0.8328,272.0908,437.0433,14.6112,227.3699,485.6929,-1.3252,223.2308,498.9099,3.8417,224.9448,474.0741,-1.2779,229.0202,460.7485,3.4591,290.3077,465.1175,2.5173,266.5058,467.4719,-1.8154,243.2884,473.2724,-3.3953,220.4185,482.3572,-0.0481,197.3200,489.4000,3.3626,172.9710,489.7879,2.6193
272.1023,474.6783,2.0131,268.2801,502.0401,-12.3213,269.3073,460.3282,2.0040,274.0266,437.2617,15.8465,228.8944,484.1939,-2.1277,224.8691,497.4774,1.7976,226.1904,472.5864,-2.4396,230.0500,459.2324,1.8698,292.2761,465.1103,3.1222,268.0979,467.7842,-0.6230,244.8314,471.9085,-3.4929,222.0887,480.5249,-1.4959,199.2488,489.2662,2.7670,175.1677,491.4759,3.1956
274.0179,474.7492,3.2969,270.5313,502.2454,-10.9722,270.8051,460.8006,2.9763,275.9040,437.3833,17.2860,230.6187,482.6751,-3.2134,227.0624,495.7603,0.4996,227.9944,470.8703,-2.8713,231.6196,458.1231,0.1841,294.3290,465.3480,3.5611,270.1095,467.6925,0.1365,246.3144,471.3691,-3.4660,223.4013,479.3963,-2.3560,200.8885,488.6901,2.0696,177.3144,491.9901,3.5758
275.9429,474.6867,4.1290,272.1260,502.7749,-9.6932,273.1834,460.7064,4.0867,277.7510,437.8337,18.2849,231.8449,481.2590,-3.7304,229.2111,494.1214,-0.6450,229.5664,469.6805,-3.2724,232.3108,456.2533,-1.0583,296.1070,465.3117,3.6342,272.1307,467.9572,1.0932,248.1275,470.7492,-2.7857,225.1025,477.8022,-2.9652,202.7780,487.3927,0.9479,179.1676,493.1768,3.6948
278.0869,475.0951,4.8719,274.3522,503.1427,-9.1322,274.9300,461.3070,4.9813,279.4064,437.8838,18.9098,233.5181,480.1101,-3.3723,231.4167,493.1374,-2.0181,230.7455,468.6161,-3.6520,233.3634,455.6449,-1.5208,297.9073,465.2131,3.3409,274.2785,468.5287,2.2047,249.8857,470.6564,-1.8173,226.2972,476.1900,-3.4887,204.1687,485.9774,-0.2828,180.9429,493.3598,3.1703
280.1416,475.7386,5.7098,276.2348,503.6450,-8.1437,276.7410,461.7118,5.6377,281.4778,438.2980,19.4485,235.0155,479.1342,-3.5455,233.2743,491.7167,-2.3470,232.6293,467.5052,-3.6329,234.2474,454.9930,-2.5438,299.6326,464.9517,2.6983,275.8401,468.8509,3.2776,252.0151,470.6113,-0.9622,227.8427,474.9550,-3.5483,205.5238,484.2787,-1.3484,182.7375,493.0560,2.7681
281.6610,475.9283,5.9063,278.3942,503.8585,-7.5067,278.6483,461.8946,5.8580,283.3839,438.6398,19.3530,236.8594,478.8419,-2.6173,235.9747,491.1942,-2.6081,234.5203,466.8348,-2.5858,234.8803,454.3964,-2.7905,301.5789,464.9366,1.6815,277.9194,469.2288,3.2576,253.5287,470.8378,0.3334,229.9564,474.2219,-3.2205,207.1386,482.5721,-2.2657,184.8176,492.8379,2.1107
283.6782,475.8956,6.1064,280.8579,503.4117,-6.6324,280.8775,461.9666,5.8405,284.1371,438.6981,18.3360,238.8362,478.7313,-2.0527,238.5477,491.0831,-2.7438,236.1953,466.7049,-1.7725,236.5743,454.2595,-2.5194,303.0699,463.7275,0.6625,279.6727,469.3442,3.5634,255.7303,471.4878,1.2698,231.4556,473.5922,-2.7059,208.5493,481.1907,-3.0825,186.1461,491.8041,0.4703
285.3427,475.8070,5.3816,284.1815,502.4749,-4.9714,282.4236,461.7789,5.3938,284.5388,438.8066,15.9374,240.5781,478.6360,-0.8809,241.3115,490.4326,-2.7574,238.2295,466.7869,-0.9761,237.1547,454.8283,-2.7826,304.7652,462.9092,-0.4919,281.5280,469.1500,3.4665,257.5879,472.3652,2.4445,232.9963,473.1924,-1.7419,210.1223,479.1348,-3.5024,187.6734,490.2433,0.0257
287.0610,475.3805,4.8834,288.5888,500.8872,-1.6555,284.2298,461.5935,4.6085,283.3050,438.1952,11.1442,242.3824,479.0125,0.3542,244.3864,491.0203,-2.3380,239.9793,467.3917,0.2036,238.5837,455.4764,-2.1536,306.5803,462.3646,-1.2939,283.2894,468.9724,2.6530,259.4065,472.8085,3.3257,235.1413,473.3610,-0.7987,211.4574,478.0795,-3.4639,189.1942,488.2978,-1.3444
288.8068,475.0202,3.9230,293.7038,498.2533,3.8586,286.0012,460.8342,3.9483,280.8945,437.7585,4.0866,244.5048,480.0461,1.4233,246.9289,491.4636,-1.9409,241.8995,467.7229,1.3934,239.3267,456.3022,-2.1075,307.9547,460.9870,-2.2767,284.9741,468.4961,1.7621,261.5173,473.1778,3.7400,237.2255,473.7744,0.2234,213.1674,476.6469,-3.5154,190.8928,486.1249,-2.5389
290.2610,474.1724,2.8714,299.4717,495.6504,8.9752,287.6335,459.9055,2.8195,278.1666,436.4511,-3.4204,246.5622,480.3989,2.4979,250.0746,492.1353,-1.8592,243.9869,468.4023,2.0956,240.7284,456.9405,-1.8940,309.7942,460.4244,-3.0013,286.6567,467.9683,0.8602,263.5725,473.4762,3.2588,239.3454,474.8369,1.4078,214.9464,476.0354,-2.8548,192.0124,484.2478,-3.0871
291.9176,473.5779,1.7030,303.4869,493.3243,12.2085,289.3547,459.2265,1.7351,277.1134,435.4066,-8.5032,248.5596,481.1029,3.0274,252.7319,492.6034,-1.9794,246.2192,469.4645,2.9091,241.4448,458.2917,-1.7301,311.2557,459.7258,-3.4313,288.3966,467.1520,-0.2067,265.2974,473.5240,3.2230,241.0015,475.2584,2.4083,216.8179,476.3817,-1.9424,193.7179,482.0544,-3.4493
293.7729,472.3133,0.7764,306.5221,491.8256,13.1309,290.6570,457.9359,0.6790,277.2261,434.2857,-11.8666,250.6882,481.9445,3.6130,255.5262,492.9796,-2.2153,247.9632,470.4324,3.4671,242.9586,459.1419,-2.0026,313.1991,458.5441,-3.6320,290.1463,466.1103,-1.2702,267.0966,473.3631,2.6837,243.2589,476.3259,2.8614,218.7864,476.5992,-0.8310,194.4892,480.8101,-3.6627
295.6294,470.5606,-0.1107,308.7319,490.3321,13.2131,292.3758,456.7598,-0.3012,278.0516,433.2689,-13.9128,252.4444,482.7516,3.3269,258.4273,493.3618,-2.5523,250.0323,470.7100,3.6366,243.7870,459.6826,-2.6709,314.7391,457.7602,-3.5594,291.5208,465.0130,-2.4744,268.5952,472.7944,1.7684,245.1882,477.2001,3.5634,220.5435,477.0729,0.3086,196.4320,480.0616,-3.1343
297.0098,469.8204,-0.7675,310.4423,489.3971,12.9465,293.8562,455.9834,-0.6559,279.5279,432.3459,-14.8775,254.3015,482.6875,3.2770,260.8414,493.3525,-3.0032,251.9167,470.8208,3.2230,245.0760,459.9182,-3.3250,316.1810,457.6387,-2.9157,292.9894,463.6953,-3.1505,270.5750,472.0854,0.7950,246.9140,477.7368,3.5557,222.6774,477.7236,1.5587,198.3886,479.1231,-2.8865
298.5266,468.8526,-1.0529,312.4554,488.4100,12.8960,295.7488,454.5859,-1.2738,280.9706,431.0854,-15.2908,255.9421,482.3438,2.7054,263.4745,492.8114,-4.1954,253.4490,470.5606,2.6273,246.0585,460.1955,-4.0220,318.3362,457.1882,-1.8806,294.6164,462.3707,-3.4227,272.0269,470.9196,-0.4109,249.0500,477.8796,3.0739,225.1068,479.0239,2.2922,199.7667,479.0937,-1.8384
300.3811,468.2245,-1.0711,314.5665,487.2889,12.9046,297.2769,454.1348,-0.9707,282.7218,430.3543,-15.3628,257.5831,481.8321,1.9916,265.9268,492.2308,-4.9801,255.2215,470.1488,1.9274,247.5079,459.4024,-4.9189,320.3017,457.3006,-0.6592,296.3430,461.5912,-3.7394,273.5586,469.4591,-1.7508,250.6903,477.2500,2.5925,226.5592,479.7902,3.3229,202.3757,479.6131,-0.6537
302.2259,467.5190,-0.8827,315.8453,486.3677,13.5059,298.8474,453.2381,-1.0145,284.4165,429.4825,-14.8451,259.4340,480.7112,1.0062,268.0564,491.3782,-6.3343,256.9542,469.0093,0.8679,248.4517,458.7303,-6.2547,321.7113,457.3907,0.1407,298.2742,460.8283,-3.6319,275.1015,468.6263,-2.0907,252.5082,476.8886,2.0491,228.6071,480.9631,3.4893,204.2007,480.2142,0.2384
303.5724,467.0679,0.0120,317.4440,486.0017,14.1059,300.5706,453.0921,-0.0005,286.0493,429.3586,-14.2509,260.9575,479.9538,-0.2069,269.8856,490.0570,-7.2559,258.4632,467.9602,-0.1832,249.6760,457.3095,-7.3851,323.7741,457.4628,1.3095,299.8904,460.4172,-2.6314,276.7282,466.8846,-3.0519,254.2474,475.9110,0.9748,230.3072,481.4952,3.7458,205.9993,481.2260,1.6285
305.6195,467.2481,0.7291,319.3532,486.0467,14.9290,302.5768,452.8058,0.9102,287.9044,428.9845,-13.4077,262.4645,478.0521,-1.3878,271.7260,488.6253,-8.5338,260.3463,466.5119,-1.5433,250.9562,456.2069,-8.7795,325.5354,457.4936,2.3675,301.5915,460.0715,-1.8769,278.2232,465.6504,-3.4049,255.6583,474.9236,-0.1704,232.7745,481.8430,3.3397,208.5373,482.6975,2.2116
