frame,Fish1_P1_x,Fish1_P1_y,Fish1_P1_z,Fish1_P2_x,Fish1_P2_y,Fish1_P2_z,Fish1_P3_x,Fish1_P3_y,Fish1_P3_z,Fish1_P4_x,Fish1_P4_y,Fish1_P4_z,Fish1_P5_x,Fish1_P5_y,Fish1_P5_z,Fish1_P6_x,Fish1_P6_y,Fish1_P6_z,Fish1_P7_x,Fish1_P7_y,Fish1_P7_z,Fish1_P8_x,Fish1_P8_y,Fish1_P8_z,Fish1_P9_x,Fish1_P9_y,Fish1_P9_z,Fish1_P10_x,Fish1_P10_y,Fish1_P10_z,Fish1_P11_x,Fish1_P11_y,Fish1_P11_z,Fish1_P12_x,Fish1_P12_y,Fish1_P12_z,Fish1_P13_x,Fish1_P13_y,Fish1_P13_z
10,237.7766,476.1387,-2.3787,228.2229,479.4871,-0.6314,218.2971,482.5331,1.1304,208.6850,485.0387,2.7904,198.7028,487.1695,3.5702,188.9547,488.4227,3.4769,178.8269,488.6318,2.4235,168.5035,488.8541,0.5371,158.6091,489.3644,-1.2194,148.8080,490.6022,-2.8007,138.7460,493.0910,-3.4649,129.6979,496.5215,-3.3812,120.2201,501.1939,-2.3176
11,238.9945,475.4630,-2.9586,229.8462,478.7270,-1.7439,220.1328,481.6139,0.4102,210.2971,484.7053,1.6814,200.4643,486.7670,2.9682,191.1302,488.5475,3.5639,180.7352,489.5378,2.8912,170.9261,489.4951,1.5813,160.5496,489.7711,0.0948,150.4623,490.2280,-1.9861,140.4905,492.1908,-3.1179,130.9652,495.1769,-3.6773,121.6222,499.2276,-2.8273
12,240.8932,474.4216,-3.6516,231.4038,477.2854,-2.5427,221.4828,480.7787,-1.1985,212.1211,484.0419,0.6642,202.6105,486.7551,2.3461,193.0488,489.0783,3.1629,182.6617,490.1748,3.2992,172.6841,490.4811,2.6981,162.4875,490.4854,0.8822,152.5316,490.5858,-0.8134,142.2440,491.6468,-2.5212,132.5387,493.6701,-3.3392,123.3025,497.3903,-3.3848
13,242.7116,473.8497,-3.5453,232.9614,476.5081,-3.2283,223.2318,479.5421,-2.3019,213.8733,482.9866,-0.0724,204.3553,486.2713,1.5720,194.5101,488.5289,2.8353,184.6004,490.5534,3.5596,174.8337,491.2513,3.3952,164.7046,491.2416,1.9775,154.2255,491.0165,0.3591,144.3405,491.6359,-1.6461,134.4015,492.6922,-2.9541,124.6241,495.7254,-3.3820
14,244.4390,473.0470,-3.3483,234.5175,475.3885,-3.7621,225.1896,478.5850,-2.7212,215.3142,482.1262,-1.0578,206.0151,485.1222,0.3644,196.4758,488.1766,2.2059,186.8356,490.3583,3.6362,176.9566,491.6815,3.3538,166.5366,492.0930,2.8014,155.9397,492.0782,1.6252,145.9254,492.0217,-0.7178,136.1116,492.7176,-1.9200,126.2349,494.6307,-3.2528
15,245.9598,472.4248,-2.7081,236.2242,474.7115,-3.4878,226.5210,477.4341,-3.1245,216.8994,480.8843,-2.3556,207.4810,484.5342,-0.6085,198.3024,487.7000,0.9729,188.4877,490.3036,2.5522,178.3761,492.2592,3.6327,168.6534,493.0276,3.2654,158.2287,493.0152,2.1642,148.0657,492.8266,0.4974,137.8607,492.8224,-1.2256,127.9856,494.0805,-2.6826
16,247.5669,472.2808,-1.8605,238.0583,473.8423,-3.1516,228.4178,476.3990,-3.6122,218.7203,479.4704,-2.9553,209.1853,482.9616,-1.8134,199.6968,486.7556,0.0883,190.1684,489.7621,2.0201,180.3653,492.4340,3.0349,170.4091,493.7290,3.6176,160.4711,494.2438,2.9947,150.2148,493.6907,1.8849,139.9598,493.6249,-0.0907,129.6073,493.8890,-1.8267
17,249.6257,472.2321,-1.0684,239.7428,473.5704,-2.6584,229.8893,475.3731,-3.3539,220.3847,478.3149,-3.6438,210.5984,481.6250,-2.9579,201.3301,485.4461,-1.0455,191.7738,488.9887,0.9170,182.4315,491.9884,2.3925,172.4081,494.0512,3.6921,162.3999,494.7793,3.3642,151.9064,494.9693,2.3901,141.7188,494.1828,0.8311,131.7306,494.1174,-1.1268
18,251.4987,472.1776,0.3227,241.6227,473.4650,-1.7668,231.6142,475.1622,-3.0682,221.6778,477.5298,-3.6530,212.2510,480.3890,-3.0840,202.8959,483.9467,-1.9163,193.7651,488.0163,-0.1569,183.7941,491.8653,1.3923,174.2528,493.8773,3.2248,164.4787,495.3227,3.6309,154.3652,495.9167,3.0556,143.8762,495.5470,2.0221,133.5764,495.2187,0.1153
19,253.0773,472.2344,1.5572,243.2607,473.7932,-0.4206,233.2269,474.6263,-2.1746,223.3977,476.9712,-3.4840,214.0115,479.4614,-3.5823,204.2532,482.5729,-2.7866,195.1264,486.4608,-1.5649,185.5912,490.1772,0.1669,175.9504,493.3259,2.2991,166.6008,496.0665,3.2494,156.2356,496.9255,3.7251,146.0141,496.7755,3.1720,135.7119,496.1338,1.3728
20,255.3003,472.3619,2.2819,245.0386,473.5255,0.9133,235.3295,474.6265,-1.3649,225.2608,476.2691,-2.8377,215.7648,478.0843,-3.5876,206.2243,480.9956,-3.2069,196.2468,484.9764,-2.3451,187.2721,488.5032,-0.9194,177.6328,492.7115,1.0910,168.0825,495.4510,2.6932,158.1358,497.4090,3.6313,148.3622,497.7813,3.3375,137.8428,497.4203,2.3114
21,256.8553,472.7408,2.9193,246.9582,473.5548,1.8702,237.0560,474.9008,-0.0781,226.8402,475.7040,-1.7883,217.1231,477.4235,-3.2024,207.5302,479.9860,-3.6470,197.9821,483.1390,-2.9811,188.5505,487.6836,-1.8686,179.0695,491.7010,-0.1188,169.7351,495.1288,1.8526,159.8871,497.5528,3.1463,150.3583,498.8067,4.0534,139.6963,498.7193,2.8965
22,259.1278,472.9249,3.6078,248.8822,473.9488,2.2898,239.2252,475.0463,0.9596,229.0761,475.9801,-0.7181,218.7449,477.0577,-2.4666,209.2538,479.3570,-3.6100,199.6249,482.5024,-3.3909,190.3101,485.9189,-2.4791,181.1086,490.0866,-0.8152,171.3270,494.1283,1.0000,161.7996,497.3920,2.3946,151.9863,499.1941,3.7485,142.0632,499.9611,3.3849
23,260.8097,472.6404,3.5051,251.0168,474.3013,3.4563,240.8498,475.2756,2.2102,230.7236,475.8495,0.4530,220.8617,476.7034,-1.5654,210.8450,478.8396,-3.0901,201.1138,480.8818,-3.7489,191.5901,484.1793,-3.3933,182.0938,488.2302,-2.2526,172.9338,492.5892,-0.4418,163.6640,496.4656,1.5073,153.8840,499.4629,3.0167,144.0972,500.2272,3.4927
24,262.2862,472.6288,3.3913,252.6655,474.5496,3.4125,242.8831,475.4315,2.8017,232.8010,476.5198,1.3357,222.9575,477.0918,-0.5620,212.2636,478.5218,-2.2664,202.6789,480.3421,-3.1500,193.2593,482.8042,-3.5030,183.7294,486.6214,-2.6845,174.1919,491.1755,-1.2859,165.4905,495.3473,0.1856,155.5715,498.7777,2.2644,146.0932,500.6971,3.2858
25,264.5364,472.6362,3.0326,254.5548,474.6666,3.8009,244.8829,476.0845,3.5094,234.5537,476.6642,2.4666,224.5268,477.4890,0.5449,214.4561,478.2790,-1.3782,204.5896,479.6343,-2.7650,194.7325,482.0121,-3.2632,185.2380,485.4080,-3.2518,175.5854,489.2418,-2.4146,166.8181,493.8110,-0.5606,157.4341,497.6996,1.1130,147.5782,500.8498,2.7356
26,266.1589,471.8351,2.0380,256.5605,474.5901,3.2821,246.6130,476.2734,3.6895,236.5086,477.5166,3.3143,226.8183,477.9814,1.7447,216.4733,478.5051,-0.0260,206.3584,479.3664,-1.6382,196.5385,481.1022,-3.0431,186.8991,483.8934,-3.6076,177.2718,487.6170,-3.2271,168.2016,491.8599,-1.5585,159.0030,496.5201,0.1039,149.5298,499.9479,1.7375
27,267.8184,471.3717,0.8525,258.0400,474.0375,2.4279,248.2706,476.2477,3.4272,238.7030,477.7850,3.6049,228.5255,478.3919,2.4539,218.1309,479.4100,0.8368,208.2121,479.4673,-0.9066,198.1736,480.3752,-2.6457,188.2798,482.7564,-3.5613,178.8517,486.0527,-3.5821,169.7587,490.1380,-2.5605,160.1742,494.8933,-1.0595,151.1299,499.1676,0.8384
28,269.5512,470.4983,-0.0559,260.0562,473.5493,1.3951,250.0670,475.9146,2.9440,240.4756,477.7607,3.7673,230.4270,478.7293,3.1673,219.9318,479.4667,1.9363,210.0783,479.8774,0.1987,199.9985,480.8155,-1.3899,190.0071,482.2566,-3.2240,180.3862,484.9011,-3.9267,171.1642,488.2147,-3.2602,161.7862,493.1676,-2.1403,152.5705,497.6694,-0.2956
29,271.0516,469.6822,-1.3408,261.7349,472.6112,0.4270,252.0329,475.5764,2.1833,242.2462,477.7917,3.2154,232.4169,479.2627,3.7407,222.3272,480.0222,2.8834,212.1642,480.6479,1.5286,201.9314,480.7597,-0.5853,191.8062,481.6495,-2.1684,182.1385,483.5991,-3.4461,172.6290,486.7213,-3.7219,163.2199,490.9404,-3.0015,154.1526,495.8555,-1.3487
30,272.8396,468.8519,-2.3238,263.3905,472.1273,-0.6197,253.7552,475.0951,1.1742,243.8677,477.7870,2.5181,234.5026,479.7611,3.5723,224.2633,481.0450,3.2433,213.9571,481.1577,2.2799,203.7932,481.4423,0.6521,193.6898,482.0883,-1.4338,183.6596,483.1396,-2.7846,174.2036,485.4050,-3.6991,164.5967,489.0462,-3.3064,155.3703,493.8364,-2.2310
31,274.6211,467.9896,-2.9389,265.0054,470.8272,-1.7353,255.0771,474.1713,0.0179,245.8303,477.2267,1.6992,235.9128,479.5329,3.0978,226.2082,481.0196,3.6051,215.8698,481.6381,3.1640,205.7459,482.0752,1.4834,195.5332,482.2227,-0.1804,185.8049,482.9918,-1.9412,175.9034,484.7647,-3.1138,166.1355,487.7144,-3.3328,156.9551,491.9813,-2.9175
32,276.2487,466.8259,-3.6617,266.5068,469.6383,-2.6832,257.1114,473.0376,-0.9188,247.2483,476.3242,1.0179,237.8670,479.3027,2.7516,228.2552,481.2372,3.6564,218.0001,482.5661,3.4970,208.1167,482.8075,2.6621,197.8129,483.1080,0.9672,187.7016,483.0686,-0.6923,177.5869,483.9361,-2.4347,167.8033,486.2840,-3.5691,158.2676,489.6527,-3.2411
33,277.6300,466.1264,-3.4190,268.2307,469.0017,-3.0111,258.5444,471.8967,-1.8920,249.2069,475.3907,-0.4477,239.7317,478.7336,1.3661,229.9939,481.0397,2.9084,219.8501,482.8779,3.4658,209.8694,483.8641,3.2828,199.8532,484.0174,1.9628,189.5307,483.8556,0.5138,179.5104,484.3593,-1.4192,169.6098,485.2914,-2.8486,159.8479,488.3344,-3.6698
34,279.4429,465.6637,-3.2093,269.5643,468.0132,-3.6500,260.0533,471.0048,-2.8903,250.5928,474.2139,-1.3126,241.1987,477.6092,0.3682,231.5990,480.8895,2.0536,221.9588,482.9759,3.7445,211.7937,484.2637,3.5950,201.6570,484.8870,3.1112,191.4821,484.6536,1.2772,181.3062,484.7926,-0.3602,171.0936,485.4984,-2.0368,161.4901,487.1028,-3.3255
35,281.1297,465.2110,-2.8009,271.1285,467.3407,-3.5154,261.9726,469.8656,-3.3569,252.4462,473.1971,-2.2760,243.2914,476.6599,-0.6064,233.5702,479.9718,1.0688,223.4681,482.9776,2.8473,213.9664,484.5560,3.6950,203.9877,485.5740,3.3901,193.6914,485.6687,2.4155,183.1466,485.3190,0.4499,173.2035,485.5312,-1.2398,163.1674,486.3355,-2.6247
36,282.9579,464.8722,-1.7347,273.0619,466.7768,-3.1568,263.4544,469.0244,-3.7851,253.9552,471.9578,-2.9011,244.3552,475.3994,-1.6406,234.9268,478.9067,0.0898,225.5971,482.3370,1.7714,215.8142,484.5345,2.8574,205.7805,486.2404,3.6311,195.5059,486.5770,2.8467,185.3946,486.1000,1.6736,175.1175,485.7961,-0.1973,165.0567,486.6856,-2.1276
37,284.8929,464.5433,-1.0662,275.1683,466.2896,-2.6166,265.1587,468.2630,-3.4315,255.8073,470.9290,-3.9436,245.9100,474.0523,-2.6249,236.5183,477.7639,-1.1615,227.2658,481.5662,0.7638,217.5827,484.6021,2.6860,207.5323,486.6560,3.3675,197.8345,487.4235,3.1539,187.4395,487.1674,2.5617,177.1084,486.9341,0.7757,166.6913,486.7026,-0.9016
38,286.8786,464.8503,0.1870,276.9160,465.7762,-1.4693,266.8198,467.6378,-2.8850,257.0048,469.9998,-3.5922,247.8875,472.8561,-3.0482,238.1667,476.3357,-1.8146,228.4973,479.9885,-0.1298,219.3361,483.8254,1.5329,209.7595,486.6043,2.8824,199.7387,487.8654,3.5069,189.3388,488.1497,3.0620,179.3816,487.9630,1.9362,168.6935,487.7534,0.2580
39,288.6239,464.8447,1.1792,278.4139,466.0828,-0.5030,268.7311,466.7922,-2.0446,258.7136,469.4561,-3.4119,249.1269,471.8566,-3.6973,239.7468,475.0323,-2.6476,230.3274,479.0418,-1.4634,220.7666,482.8383,0.1894,211.1855,486.1967,2.0209,201.7143,488.2086,3.3838,191.3468,489.4101,3.6353,181.4606,489.5152,3.0290,170.9726,488.5379,1.5534
40,290.2310,464.9646,2.4297,280.4934,466.3214,0.6311,270.1780,467.1143,-1.1988,260.4682,468.8386,-2.7906,250.5452,470.8755,-3.7163,241.4312,473.8525,-3.5957,231.8997,477.8604,-2.6198,222.4972,481.5642,-0.6054,212.9826,485.2949,1.1210,203.5406,487.9416,3.0472,193.7053,489.7097,3.5433,183.5735,490.3213,3.3608,172.9886,490.1549,2.2280
41,292.3015,465.2812,3.0254,282.1851,466.1069,1.4683,272.1135,466.9854,-0.2279,262.3540,468.3898,-2.0260,252.2986,469.9533,-3.3836,242.5847,472.7601,-3.8087,233.2697,475.9500,-2.6923,223.6160,480.0321,-1.7461,214.4041,484.0853,0.1423,204.8835,487.6183,1.9604,195.5451,489.9483,3.3960,185.3495,490.9372,3.6765,175.1443,491.1054,3.1965
42,294.0972,465.4693,3.4823,284.3247,466.6776,2.6653,274.0272,467.6232,1.0020,264.4497,468.4544,-0.7517,254.0870,469.6191,-2.4814,244.2382,471.5531,-3.4750,234.8075,474.7171,-3.3271,225.3328,478.5391,-2.6160,216.0222,482.6243,-1.3089,206.6815,486.4592,0.7249,196.8427,489.6760,2.2143,187.4509,491.6735,3.2064,177.1291,492.4492,3.4055
43,295.9692,465.2767,3.5715,285.8498,466.8154,3.1549,276.5366,467.7885,1.9503,266.1825,468.5692,0.2958,255.8818,469.7766,-1.6662,246.1752,471.2629,-3.0264,236.4142,473.6215,-3.4884,226.7450,476.9371,-3.3804,217.4363,480.8727,-1.8363,208.4648,485.5977,-0.2663,198.6793,488.8426,1.8132,188.9362,491.6916,2.8959,179.5017,492.9783,3.7560
44,298.0222,465.1829,3.4052,287.7492,466.9737,3.5336,277.6231,468.2420,2.8942,267.6974,468.7428,1.2424,257.8005,469.6232,-0.6381,247.7396,470.8176,-2.2824,238.0526,472.6247,-3.2668,228.4332,475.6639,-3.5504,219.1693,479.4992,-3.0600,209.8634,483.8731,-1.5007,200.3914,487.7601,0.5605,190.9882,491.1828,2.4080,181.0308,493.4855,3.4889
45,299.8972,464.8429,2.8708,289.8596,466.7798,3.4009,279.7358,468.4157,3.3227,269.8897,469.5882,2.3826,260.1901,469.9719,0.7501,249.7905,470.9853,-1.2818,239.9194,472.3569,-2.8616,230.0462,474.4849,-3.6094,220.4102,478.0129,-3.4196,211.4568,481.7949,-2.3502,202.0338,486.2670,-0.7666,192.4440,490.3906,1.1250,182.9882,493.0520,2.6697
46,301.3195,464.3825,1.7530,291.5037,466.8838,3.3985,281.5887,468.6463,3.7446,271.8698,469.8243,2.9889,261.7370,470.4761,1.3681,251.5168,470.7282,0.0747,241.7133,471.7924,-1.7813,232.0944,473.5139,-2.9806,222.1443,476.3293,-3.7639,212.5848,480.0775,-3.4039,203.4629,484.5040,-1.6271,194.0410,489.4429,-0.1297,184.5407,492.8636,2.2558
47,302.9052,464.1095,0.7268,293.5980,466.5440,2.8304,283.9115,468.6163,3.8990,273.5682,470.1533,3.7659,263.5804,470.9377,2.6139,253.6327,471.5514,0.8869,243.4864,472.1322,-0.6388,233.5238,472.9827,-2.4917,223.6087,475.4884,-3.7100,214.2520,478.3757,-3.3039,204.9479,482.7440,-2.5186,195.5358,487.4114,-1.0062,186.3916,491.6421,0.4922
48,304.6549,463.2989,-0.0400,295.1450,465.9732,1.5218,285.5398,468.6162,2.8339,275.7209,470.5953,3.4475,265.6117,471.6160,3.3470,255.4698,472.0153,1.9491,245.4409,472.5057,0.2549,235.0962,472.9418,-1.4766,225.2085,474.6176,-3.0349,215.6314,477.1915,-3.3393,206.3346,480.8736,-3.4596,197.1034,485.5987,-1.9276,187.9691,490.1620,-0.4533
49,306.3815,462.2850,-1.2467,296.7416,465.2583,0.5492,287.3884,468.2675,2.3080,277.5215,470.2575,3.1702,267.5503,472.0984,3.6252,257.5921,472.5037,2.6217,247.5205,473.0435,1.1578,237.3320,473.4198,-0.0516,227.3542,474.3287,-2.2337,217.3844,476.1726,-3.5512,207.9292,479.3529,-3.9791,198.3606,483.3710,-2.6938,189.2352,488.4669,-1.5935
50,307.8719,461.4480,-2.4175,298.3113,464.3151,-0.7457,288.9834,467.6469,0.9869,279.2066,470.1684,2.7658,269.5725,472.1637,3.4572,259.3022,473.0238,3.3295,249.3466,473.9009,2.2625,239.5061,473.9229,0.5593,229.0823,474.2175,-1.1936,218.7548,475.6997,-2.7434,209.3858,478.0363,-3.7352,199.7721,481.8989,-3.3110,190.5660,486.3005,-2.2580
51,309.9715,460.5362,-2.9949,300.0359,463.6875,-1.7113,290.4343,466.4597,-0.0104,280.9288,469.7776,2.0390,271.4508,472.1234,3.3002,261.7353,473.8446,3.8385,251.1098,474.3653,2.9439,240.7535,474.6854,1.9049,230.8775,474.8270,-0.2470,220.7971,475.4823,-2.0814,211.1791,476.8246,-3.1271,201.3360,480.3001,-3.4838,191.7567,483.8675,-3.2067
52,311.2593,459.4762,-3.4901,301.8285,462.1990,-2.8644,292.2325,465.5984,-1.0143,282.5681,468.8874,1.0874,272.8055,471.5905,2.5922,263.5091,473.8530,3.2693,253.0055,475.1230,3.3073,243.4954,475.8433,2.6282,233.0205,475.4838,1.1700,222.7640,475.7000,-0.6603,212.8413,476.9809,-2.7415,202.9064,478.7169,-3.3324,193.4429,482.4745,-3.6700
53,312.9984,459.0854,-3.3450,303.0744,461.4635,-3.1146,293.7305,464.4035,-1.9194,284.3159,468.0378,-0.2815,275.1089,471.0254,1.4977,265.1675,473.8808,2.7740,255.4266,475.2700,3.5917,245.1287,476.1645,3.4086,234.6201,476.2591,1.8833,224.8633,476.5226,0.3742,214.7981,476.3335,-1.5475,204.4570,478.0180,-2.9441,195.0435,481.0478,-3.8876
54,314.5947,457.8944,-3.5812,305.1532,460.5230,-3.3324,295.5870,463.4714,-2.9864,286.0538,466.7407,-1.5347,276.2410,470.3064,0.6842,266.8476,473.5276,2.2248,257.0350,476.0228,3.6085,247.1777,476.7726,3.3245,237.0659,477.2397,2.9110,226.8020,477.2083,1.5262,216.5667,476.9845,-0.6099,206.5300,477.6210,-2.1033,196.7376,479.7103,-3.4525
55,316.1959,457.4875,-2.9973,306.6810,459.6506,-3.6822,297.1551,462.4206,-3.3780,287.5759,465.8096,-2.5596,278.1286,468.9291,-0.7509,268.6752,472.7114,1.3247,258.9236,475.6247,2.5223,249.0227,477.2814,3.8494,239.1754,478.2596,3.2710,229.1408,478.1996,2.1683,218.8747,477.6463,0.5015,208.2870,477.8198,-1.1459,198.3777,479.1012,-2.4694
56,317.9963,457.5730,-2.0257,308.6081,459.3982,-2.8302,298.6349,461.2817,-3.5488,289.0714,464.1993,-2.9462,279.4627,468.1854,-1.5513,270.1068,471.6034,0.0825,260.5517,475.3309,1.7616,250.9284,477.4765,3.1178,240.9001,478.5291,3.7768,230.9599,479.1852,2.8302,220.6506,478.9003,1.6453,210.0850,478.5663,-0.2495,200.1638,478.9779,-1.9527
57,320.1875,457.2339,-0.7850,310.2050,458.8557,-2.6405,300.2873,460.8202,-3.4357,290.8524,463.4651,-3.5614,281.2989,466.6394,-2.4508,272.0077,470.5405,-0.6553,262.0419,473.9095,0.8244,252.6340,477.0718,2.4407,243.0698,479.2020,3.5207,232.7228,480.0497,3.5958,222.7006,479.9547,2.8043,212.2482,479.4545,1.0988,202.1515,479.4723,-0.9070
58,321.7014,457.0735,0.1929,312.0571,458.6155,-1.8445,302.1395,460.1045,-3.1371,292.6486,462.4344,-3.4666,283.1241,465.3298,-3.2981,273.5063,468.8309,-2.0076,263.8766,472.9840,-0.1970,254.2521,476.4786,1.6989,244.5776,478.9095,2.9019,234.6698,480.7268,3.5422,224.6681,480.8392,3.1794,214.6343,480.7551,1.7761,203.9325,480.2341,0.1831
59,323.6806,457.2466,1.1552,313.7876,458.4154,-0.3233,303.8182,459.6370,-2.1070,294.2029,461.5350,-3.5907,284.2642,464.0702,-3.3197,274.6211,467.5951,-2.6199,265.5524,471.4056,-1.4723,255.9843,475.2725,0.7188,246.4584,478.3687,2.3589,236.8913,480.7840,3.4512,226.7400,481.6716,3.5537,216.3318,481.7321,2.7001,206.2045,481.2649,1.1569
60,325.5020,457.5451,2.3888,315.6510,458.2666,0.8248,305.9107,459.9083,-1.1433,295.8349,461.0438,-2.7251,285.8043,463.3390,-3.7586,276.4773,466.2740,-3.2701,266.9785,469.9513,-2.1927,257.3990,473.9670,-0.7124,248.2560,477.7250,1.2655,238.6211,480.3073,2.6145,228.7068,482.5547,3.6300,218.7705,482.8769,3.4003,208.1873,482.4296,2.1946
61,327.4348,457.6868,2.9588,317.5323,458.5505,1.7602,307.5304,459.8256,-0.1884,297.4461,461.0443,-1.9252,287.9626,462.4065,-3.2126,277.8142,465.0501,-3.7165,268.4083,468.6753,-3.2281,259.1904,472.3021,-1.7569,249.9311,476.6225,0.1598,240.3516,480.1560,1.9962,230.7726,482.3992,3.1648,220.6880,483.8612,3.6817,210.5658,483.6778,2.8541
62,329.5721,457.8318,3.4124,319.4308,459.0260,2.7452,309.5289,460.0472,1.0799,299.3676,461.0518,-1.2189,289.2398,462.1892,-2.5579,279.4845,464.3368,-3.6054,270.0651,467.2206,-3.4860,260.4818,470.9231,-2.4103,251.3462,475.2454,-1.0108,241.6296,479.0002,0.8418,232.5342,482.4280,2.5597,222.4052,484.2439,3.4194,212.4070,484.6661,3.5643
63,331.2202,457.9679,3.3715,321.1490,459.8844,3.1066,311.3500,460.4013,1.8713,301.5067,461.0980,0.2803,291.4990,461.9399,-1.6452,281.2804,463.4023,-2.9394,271.6985,466.0762,-3.4924,262.2516,469.4758,-3.2748,252.9445,473.3807,-1.8092,243.4096,477.8368,0.0162,233.6792,481.4743,1.5115,224.6364,484.1933,3.3901,214.2233,485.6979,3.5328
